name,latitude,longitude
神奈川県,川崎市多摩区
中野島,35.628776,139.558865
布田,35.634035,139.547462
堰,35.611939,139.595076
宿河原,35.617655,139.584313
東三田,35.608627,139.550502
長尾,35.611144,139.582770
東生田,35.604824,139.565030
長沢,35.598453,139.535439
南生田,35.607585,139.537406
三田,35.607256,139.546020
栗谷,35.609318,139.534694
登戸新,35.624304,139.564813
枡形,35.613493,139.553267
生田,35.623325,139.548632
和泉,35.629363,139.564793
菅馬場,35.626270,139.537604
寺尾台,35.621140,139.537177
菅北浦,35.629660,139.535147
西生田,35.616007,139.532511
菅仙谷,35.628832,139.526553
菅,35.635940,139.528574
登戸,35.620766,139.563782
菅稲田堤,35.634919,139.542429
菅城下,35.634521,139.524042
菅野戸呂,35.639780,139.531517
