name,latitude,longitude
神奈川県,大和市
中央林間,35.503287,139.442505
下鶴間,35.497634,139.459301
つきみ野,35.503840,139.457664
渋谷,35.434537,139.462537
本蓼川,35.456388,139.454711
下和田,35.429604,139.469863
代官,35.438323,139.455745
福田,35.444394,139.460399
上和田,35.447260,139.473473
深見台,35.465536,139.468462
柳橋,35.460825,139.463827
草柳,35.457888,139.457472
中央,35.463276,139.462885
大和南,35.468850,139.464709
上草柳,35.478423,139.455171
下草柳,35.464290,139.452409
西鶴間,35.487312,139.450594
桜森,35.472722,139.438579
南林間,35.492413,139.444104
鶴間,35.492289,139.452301
林間,35.498842,139.448986
深見,35.476949,139.469037
