name,latitude,longitude
高知県,安芸市
赤野乙,33.521629,133.829528
赤野甲,33.509324,133.841157
穴内乙,33.508114,133.862965
穴内甲,33.508706,133.854203
伊尾木,33.492029,133.927594
井ノ口乙,33.537764,133.903063
井ノ口甲,33.523655,133.892864
植野,33.516410,133.893299
大井乙,33.587791,133.987474
大井甲,33.569409,133.942073
尾川乙,33.600450,133.876616
尾川甲,33.577239,133.890457
小谷,33.558458,133.882020
川北乙,33.526526,133.916968
川北甲,33.506260,133.927707
久世,33.501551,133.903936
黒瀬,33.562347,133.968240
黒鳥,33.509383,133.898611
古井,33.620051,133.988424
寿,33.498221,133.903210
幸,33.503870,133.899931
桜ケ丘,33.505396,133.893028
島,33.657276,134.038999
下山,33.464528,133.942689
庄之芝,33.502474,133.900278
清和,33.499112,133.899436
僧津,33.527443,133.906081
染井,33.502988,133.895154
千歳,33.500080,133.895491
津久茂,33.500934,133.890612
土居,33.515244,133.910642
栃ノ木,33.560760,133.903429
奈比賀,33.526305,133.951172
西浜,33.503657,133.883375
入河内,33.556234,133.958126
畑山乙,33.645774,133.958864
畑山甲,33.620049,133.921822
畑山丙,33.637420,133.920321
花園,33.505373,133.909977
東浜,33.505233,133.913744
日ノ出,33.496791,133.907675
別役,33.683983,134.013870
宝永,33.506199,133.899425
本,33.500261,133.908701
舞川,33.646010,133.892094
港,33.498550,133.911700
矢ノ丸,33.502052,133.909104
安芸ノ川乙,33.586126,133.930615
安芸ノ川甲,33.573263,133.923580
赤野,33.521629,133.829528
穴内,33.508114,133.862965
井ノ口,33.537764,133.903063
大井,33.587791,133.987474
尾川,33.600450,133.876616
川北,33.526526,133.916968
畑山,33.645774,133.958864
安芸ノ川,33.586126,133.930615
