name,latitude,longitude
高知県,宿毛市
池島,32.923335,132.687175
宇須々木,32.930534,132.668625
駅東,32.933853,132.715912
駅前,32.932887,132.713212
大島,32.91454,132.696204
大深浦,32.938363,132.683746
沖の島町鵜来島,32.801935,132.489499
沖の島町弘瀬,32.718812,132.560287
沖の島町母島,32.740806,132.556095
押ノ川,32.943922,132.765855
貝塚,32.936268,132.714337
片島,32.922374,132.6983
樺,32.934851,132.675197
草木薮,32.957489,132.693583
港南台,32.929561,132.682921
小筑紫町石原,32.86212,132.763538
小筑紫町伊与野,32.890291,132.737497
小筑紫町大海,32.891291,132.716081
小筑紫町小浦,32.911294,132.716031
小筑紫町小筑紫,32.873812,132.716415
小筑紫町栄喜,32.875721,132.702337
小筑紫町田ノ浦,32.913363,132.723472
小筑紫町都賀川,32.912024,132.754561
小筑紫町内外ノ浦,32.903507,132.718961
小筑紫町福良,32.870194,132.731431
小筑紫町湊,32.895666,132.723348
小筑紫町呼崎,32.904067,132.730843
小深浦,32.94025,132.696206
幸,32.935291,132.722328
坂ノ下,32.924407,132.719383
さくらが丘,32.949998,132.766602
桜,32.939434,132.727594
四季の丘,32.935126,132.710895
自由ケ丘,32.932684,132.690327
新港,32.923914,132.680036
宿毛,32.942615,132.716337
高砂,32.927637,132.701877
中央,32.937593,132.725547
長田,32.936489,132.72005
中角,32.97013,132.745432
西片島,32.929344,132.699973
錦,32.94084,132.703591
西,32.929375,132.687298
二ノ宮,32.959693,132.731813
野地,32.965512,132.702113
萩原,32.938979,132.723957
橋上町出井,33.086728,132.693091
橋上町奥奈路,32.988064,132.761989
橋上町神有,33.000168,132.758861
橋上町京法,32.986032,132.726955
橋上町楠山,33.05085,132.705
橋上町還住薮,33.022823,132.706237
橋上町坂本,33.025351,132.742598
橋上町橋上,32.973603,132.773024
橋上町平野,32.973365,132.75712
平田町黒川,32.92358,132.796973
平田町中山,32.962576,132.771196
平田町東平,32.962975,132.809188
平田町戸内,32.94689,132.78523
松田,32.943636,132.729043
南沖須賀,32.933754,132.727135
藻津,32.931466,132.659654
山北,32.999222,132.693511
山奈町山田,33.003912,132.797292
山奈町芳奈,32.979454,132.790391
与市明,32.940828,132.720689
和田,32.947513,132.744579
希望ケ丘,32.933261,132.702438
