let,num
池,1
島,9
宇,1
須,2
々,1
木,2
駅,2
東,2
前,1
大,3
深,2
浦,5
沖,4
の,4
町,30
鵜,1
来,1
弘,1
瀬,1
母,1
押,1
ノ,5
川,3
貝,1
塚,1
片,2
樺,1
草,1
薮,2
港,2
南,2
台,1
小,15
筑,13
紫,13
石,1
原,2
伊,1
与,2
野,3
海,1
栄,1
喜,1
田,9
都,1
賀,2
内,2
外,1
福,1
良,1
湊,1
呼,1
崎,1
幸,1
坂,2
下,1
さ,1
く,1
ら,1
が,1
丘,4
桜,1
四,1
季,1
自,1
由,1
ケ,2
新,1
宿,1
毛,1
高,1
砂,1
中,3
央,1
長,1
角,1
西,2
錦,1
二,1
宮,1
地,1
萩,1
橋,10
上,10
出,1
井,1
奥,1
奈,4
路,1
神,1
有,1
京,1
法,1
楠,1
山,6
還,1
住,1
本,1
平,6
黒,1
戸,1
松,1
藻,1
津,1
北,1
芳,1
市,1
明,1
和,1
希,1
望,1
