let,num
安,2
政,1
井,4
川,4
淵,1
出,1
水,7
板,1
屋,12
魚,1
内,2
坪,3
江,4
津,1
大,5
本,15
岡,1
田,2
帯,1
山,6
鍛,3
冶,3
上,5
京,6
塚,2
前,3
寺,11
通,3
林,1
辛,1
島,2
端,1
河,1
原,4
北,1
千,3
反,2
畑,3
町,4
丁,1
草,1
葉,2
九,1
品,1
黒,1
髪,1
神,2
慶,1
徳,1
堀,1
紺,4
阿,3
弥,4
陀,3
子,3
飼,3
国,2
府,2
小,1
沢,1
古,5
城,3
壺,1
湖,1
東,5
琴,2
平,3
呉,1
服,1
米,1
細,1
工,2
桜,1
三,1
郎,1
崎,2
下,2
十,2
禅,2
新,5
市,1
街,2
敷,1
公,1
園,3
道,1
菅,1
船,2
場,2
段,1
中,2
央,1
手,2
取,1
渡,1
鹿,1
唐,2
人,2
西,3
二,1
の,1
丸,2
萩,1
白,1
八,1
王,1
花,1
春,2
竹,2
字,1
桶,1
成,1
保,1
窪,1
荘,2
松,1
南,3
熊,1
宮,1
妙,1
体,1
迎,1
室,1
薬,1
生,1
横,2
世,1
万,1
練,1
兵,1
今,1
