name,latitude,longitude
熊本県,熊本市東区
秋津,32.769667,130.765404
秋津新,32.778479,130.766548
秋津町秋田,32.764681,130.771813
秋津町沼山津,32.771314,130.785168
石原,32.839914,130.777926
石原,32.842663,130.776872
出水,32.780183,130.734956
画図東,32.768417,130.749481
画図町大字上無田,32.766312,130.744971
画図町大字重富,32.759853,130.730814
画図町大字下無田,32.758766,130.743930
江津,32.779209,130.737607
榎,32.793756,130.772754
尾ノ上,32.791997,130.751294
帯山,32.807061,130.749339
小峯,32.801528,130.773398
小山,32.833363,130.785552
小山,32.833107,130.814507
鹿帰瀬,32.847717,130.800576
上南部,32.832967,130.763958
上南部,32.841743,130.774505
京塚本,32.795238,130.749144
神水本,32.780366,130.743953
健軍,32.786258,130.750744
健軍本,32.785832,130.757042
神園,32.839071,130.785280
湖東,32.781143,130.746879
御領,32.819474,130.761493
栄,32.774699,130.759968
桜木,32.779363,130.778684
佐土原,32.791418,130.773567
三郎,32.799113,130.757724
下江津,32.772702,130.739406
下南部,32.821714,130.752771
昭和,32.779029,130.770638
新生,32.778380,130.755404
新南部,32.816591,130.744076
新外,32.800198,130.765133
水源,32.775840,130.753763
月出,32.801463,130.763022
戸島,32.814903,130.796493
戸島本,32.820619,130.800353
戸島,32.815436,130.818990
渡鹿,32.812794,130.741653
中江,32.845855,130.780196
長嶺東,32.815988,130.770076
錦ケ丘,32.790374,130.756196
西原,32.813868,130.752112
沼山津,32.774946,130.775190
八反田,32.814798,130.758186
花立,32.779099,130.773584
東京塚,32.797838,130.755168
東野,32.776577,130.767404
東本,32.779859,130.766457
東,32.790896,130.761791
平山,32.839625,130.798230
広木,32.768540,130.755629
保田窪,32.807220,130.744916
保田窪本,32.809725,130.745907
南,32.772601,130.758662
山ノ内,32.796386,130.765538
山ノ神,32.795521,130.771382
弓削,32.849479,130.791141
吉原,32.845522,130.775596
若葉,32.777089,130.761099
画図町大字所島,32.766096,130.733758
画図町大字下江津,32.771200,130.736238
