name,latitude,longitude
熊本県,上益城郡益城町
赤井,32.768995,130.826655
小池,32.750495,130.807013
小谷,32.820608,130.856199
上陳,32.802857,130.862148
木山,32.797025,130.817907
古閑,32.793408,130.789626
寺中,32.808424,130.836187
島田,32.760840,130.789058
下陳,32.792052,130.867649
杉堂,32.823187,130.872053
惣領,32.786758,130.799427
田原,32.811724,130.844306
辻の城,32.795009,130.821203
寺迫,32.800939,130.826108
砥川,32.758623,130.822113
平田,32.806591,130.829865
広崎,32.784811,130.786676
福富,32.784813,130.795968
福原,32.777680,130.858034
馬水,32.786090,130.806496
宮園,32.795547,130.814255
安永,32.790590,130.810311
