name,latitude,longitude
熊本県,熊本市南区
会富,32.751735,130.652302
荒尾,32.763139,130.673430
荒尾,32.757437,130.668622
出仲間,32.773006,130.712188
今,32.767986,130.654780
海路口,32.731047,130.612368
薄場,32.769071,130.680324
薄場,32.764055,130.676059
内田,32.741121,130.656068
江越,32.775747,130.701244
奥古閑,32.730871,130.633531
上ノ郷,32.766973,130.687088
刈草,32.760862,130.683629
川口,32.717852,130.631264
川尻,32.741748,130.681975
合志,32.753988,130.681565
幸田,32.766973,130.716420
護藤,32.746425,130.665222
城南町さんさん,32.711564,130.737949
島,32.767842,130.682252
十禅寺,32.777183,130.693835
城南町赤見,32.723959,130.702923
城南町阿高,32.694445,130.716617
城南町碇,32.719455,130.720680
城南町出水,32.713981,130.756734
城南町今吉野,32.716913,130.736925
城南町隈庄,32.706666,130.727722
城南町坂野,32.725096,130.742683
城南町沈目,32.698428,130.746221
城南町島田,32.716696,130.709215
城南町下宮地,32.703560,130.736267
城南町陳内,32.691871,130.757523
城南町高,32.728542,130.712865
城南町千,32.730883,130.741045
城南町築地,32.722812,130.756423
城南町塚原,32.690781,130.740608
城南町永,32.728106,130.727974
城南町丹生宮,32.731119,130.717120
城南町東阿高,32.688060,130.726520
城南町藤山,32.675594,130.738152
城南町舞原,32.709793,130.746997
城南町宮地,32.711751,130.728449
城南町六田,32.709533,130.712201
城南町鰐瀬,32.676218,130.762969
白藤,32.751663,130.677888
白石,32.750294,130.636040
砂原,32.763526,130.655420
銭塘,32.735315,130.644847
田井島,32.770587,130.725900
田迎,32.776913,130.709648
田迎町大字田井島,32.766752,130.726476
田迎町大字良,32.753529,130.723544
近見,32.768398,130.690409
近見,32.761740,130.684981
鳶,32.758523,130.676682
富合町榎津,32.713914,130.693724
富合町大,32.721716,130.690065
富合町御船手,32.735985,130.677502
富合町硴江,32.708240,130.658907
富合町上杉,32.726735,130.684890
富合町清藤,32.716127,130.675639
富合町木原,32.699850,130.707052
富合町小岩瀬,32.723622,130.670226
富合町莎崎,32.716596,130.651713
富合町古閑,32.709227,130.673038
富合町国,32.718545,130.665990
富合町菰江,32.720676,130.658855
富合町志々水,32.711971,130.667888
富合町釈迦堂,32.732743,130.699781
富合町新,32.707828,130.681488
富合町杉島,32.729699,130.675563
富合町田尻,32.704116,130.672069
富合町西田尻,32.708822,130.662153
富合町平原,32.699824,130.689411
富合町廻江,32.718367,130.680233
富合町南田尻,32.698884,130.676821
中無田,32.735435,130.669445
並建,32.754087,130.637731
野口,32.769641,130.674052
野田,32.733979,130.690780
畠口,32.752647,130.615829
八王寺,32.778962,130.712850
八分字,32.758841,130.662476
浜口,32.758340,130.642518
日吉,32.761127,130.686972
平田,32.773343,130.693014
平成,32.778560,130.699349
孫代,32.761634,130.649051
馬渡,32.776110,130.706013
美登里,32.729567,130.657340
南高江,32.755441,130.684858
南高江,32.748650,130.693800
御幸木部,32.749623,130.713326
御幸木部,32.745894,130.722168
御幸西,32.759959,130.703309
御幸西無田,32.754432,130.702341
御幸笛田,32.764142,130.715957
御幸笛田,32.755102,130.709188
無田口,32.759173,130.630331
元三,32.749309,130.698612
八幡,32.740187,130.687024
八幡十,32.739997,130.684522
良,32.762672,130.721106
流通団地,32.767505,130.707399
野口,32.767863,130.669248
土河原,32.769218,130.665966
