name,latitude,longitude
熊本県,下益城郡美里町
安部,32.613331,130.880994
石野,32.617723,130.897108
今,32.622066,130.833374
岩下,32.644974,130.805096
岩野,32.608814,130.823484
畝野,32.642165,130.912517
大井早,32.644201,130.956317
大窪,32.612289,130.848474
大沢水,32.653039,130.784667
柏川,32.601652,130.924257
堅志田,32.648137,130.788800
萱野,32.630243,130.805722
川越,32.652794,130.903402
木早川内,32.596484,130.791067
清水,32.623585,130.884888
栗崎,32.629576,130.878904
下草野,32.591853,130.830542
小市野,32.610352,130.795157
甲佐平,32.651909,130.881513
古閑,32.638163,130.862747
小筵,32.623891,130.810813
境,32.595432,130.857473
坂貫,32.595944,130.838896
坂本,32.574949,130.829886
佐俣,32.621199,130.822782
三加,32.624970,130.844505
白石野,32.604422,130.783115
土喰,32.618460,130.871241
椿,32.593966,130.819992
津留,32.614778,130.785194
遠野,32.647807,130.930536
豊富,32.635899,130.882017
中,32.602008,130.809307
長尾野,32.614664,130.808873
中郡,32.640009,130.799351
中小路,32.635225,130.783382
永富,32.607076,130.866597
名越谷,32.633088,130.849683
二和田,32.623422,130.861096
馬場,32.638218,130.791565
早楠,32.592379,130.902748
払川,32.581259,130.799376
原田,32.622009,130.785958
原,32.619285,130.866860
洞岳,32.613770,130.945839
松野原,32.611767,130.801729
三和,32.626359,130.869515
涌井,32.635369,130.895765
