name,latitude,longitude
熊本県,玉名郡南関町
相谷,33.045251,130.585033
今,33.019914,130.537114
上坂下,33.009635,130.554202
上長田,33.035101,130.528558
久重,33.041940,130.513757
肥猪,33.027232,130.589063
肥猪,33.035442,130.594348
小原,33.048790,130.565661
下坂下,33.006610,130.572347
関下,33.052855,130.539309
関東,33.069670,130.563737
関外目,33.073822,130.542934
関,33.068384,130.543522
関村,33.058512,130.528809
高久野,33.021955,130.531087
豊永,33.032183,130.561676
長山,33.015070,130.518245
細永,33.036985,130.539395
宮尾,33.002756,130.526758
四ツ原,33.001545,130.542865
