name,latitude,longitude
熊本県,菊池郡大津町
岩坂,32.849321,130.882246
大津,32.883408,130.894087
大林,32.876527,130.915126
下,32.862214,130.854839
新,32.868475,130.865609
陣内,32.865372,130.878828
杉水,32.909402,130.846851
瀬田,32.886092,130.940711
高尾野,32.891629,130.912066
中島,32.857050,130.874556
錦野,32.861750,130.907840
灰塚,32.866697,130.858721
引水,32.877444,130.883229
平川,32.900326,130.886287
吹田,32.873985,130.903537
古城,32.910997,130.948184
外牧,32.867619,130.948929
真木,32.931858,130.938923
,32.859170,130.863432
室,32.882718,130.860276
森,32.871591,130.894242
矢護川,32.921861,130.887933
美咲野,32.886218,130.880683
