name,latitude,longitude
京都府,京丹後市
網野町浅茂川,35.685388,135.015976
網野町網野,35.676548,135.032879
網野町生野内,35.642039,135.039762
網野町磯,35.684305,134.998374
網野町尾坂,35.696106,135.078096
網野町掛津,35.702542,135.056825
網野町木津,35.656844,134.981593
網野町切畑,35.610523,135.006969
網野町公庄,35.654368,135.037801
網野町郷,35.640677,135.020452
網野町小浜,35.693369,135.038289
網野町塩江,35.677681,134.982201
網野町島津,35.678774,135.051410
網野町下岡,35.672101,135.014322
網野町新庄,35.652582,135.013046
網野町高橋,35.662555,135.034292
網野町俵野,35.645427,134.961549
網野町仲禅寺,35.661562,135.054914
網野町浜詰,35.663988,134.971467
網野町日和田,35.628944,134.991618
網野町溝野,35.634222,134.968152
網野町三津,35.707014,135.072689
大宮町明田,35.597379,135.127530
大宮町五十河,35.615903,135.157522
大宮町奥大野,35.564156,135.079893
大宮町上常吉,35.542583,135.060636
大宮町久住,35.617013,135.135299
大宮町口大野,35.583472,135.085051
大宮町河辺,35.611049,135.115010
大宮町下常吉,35.557546,135.071206
大宮町新宮,35.608846,135.168449
大宮町周枳,35.588707,135.106035
大宮町善王寺,35.589577,135.071565
大宮町谷内,35.562072,135.100093
大宮町延利,35.593816,135.151455
大宮町三重,35.562964,135.120579
大宮町三坂,35.577971,135.105396
大宮町森本,35.582543,135.130373
久美浜,35.607463,134.891294
久美浜町芦原,35.580103,134.939740
久美浜町海士,35.602744,134.930157
久美浜町安養寺,35.572384,134.958391
久美浜町出角,35.561984,134.949044
久美浜町市野々,35.532205,134.956951
久美浜町市場,35.567959,134.934928
久美浜町壱分,35.607067,134.953470
久美浜町浦明,35.627060,134.929038
久美浜町円頓寺,35.588496,134.990103
久美浜町大井,35.613039,134.951814
久美浜町大向,35.642775,134.895393
久美浜町奥馬地,35.579171,134.878761
久美浜町葛野,35.638739,134.929617
久美浜町金谷,35.558296,134.936883
久美浜町鹿野,35.637324,134.934613
久美浜町蒲井,35.648286,134.875249
久美浜町神崎,35.624622,134.917198
久美浜町神谷,35.601874,134.874731
久美浜町口馬地,35.593149,134.887922
久美浜町郷,35.589218,134.967147
久美浜町河梨,35.588844,134.865345
久美浜町甲山,35.613386,134.917607
久美浜町小桑,35.562261,134.969308
久美浜町坂井,35.590991,134.917718
久美浜町坂谷,35.599978,134.990667
久美浜町佐野,35.572312,134.989074
久美浜町三分,35.636088,134.949343
久美浜町島,35.583984,134.932305
久美浜町尉ケ畑,35.540198,134.975193
久美浜町新庄,35.567263,134.919033
久美浜町須田,35.558050,134.918477
久美浜町関,35.621238,134.946268
久美浜町竹藤,35.595501,134.966753
久美浜町谷,35.581644,134.948577
久美浜町栃谷,35.582080,134.907473
久美浜町友重,35.586370,134.922172
久美浜町永留,35.596214,134.943476
久美浜町長野,35.603431,134.980958
久美浜町新谷,35.574348,134.942516
久美浜町女布,35.601653,134.962363
久美浜町野中,35.584047,134.960371
久美浜町橋爪,35.592997,134.933936
久美浜町畑,35.547999,134.926056
久美浜町平田,35.633573,134.939964
久美浜町二俣,35.550436,134.991979
久美浜町布袋野,35.532214,134.932213
久美浜町品田,35.574131,134.915596
久美浜町丸山,35.591738,134.955236
久美浜町三谷,35.575627,134.893123
久美浜町湊宮,35.637044,134.882953
久美浜町三原,35.617197,134.982193
久美浜町油池,35.602195,134.915913
丹後町相川谷,35.701946,135.132999
丹後町碇,35.724677,135.192569
丹後町井谷,35.738802,135.165989
丹後町一段,35.725863,135.136620
丹後町岩木,35.721570,135.110134
丹後町上野,35.752758,135.167316
丹後町上山,35.740569,135.197699
丹後町大石,35.708245,135.148419
丹後町大山,35.723149,135.097922
丹後町尾和,35.756970,135.193585
丹後町遠下,35.733353,135.147701
丹後町久僧,35.755464,135.174558
丹後町鞍内,35.725996,135.162558
丹後町神主,35.713824,135.154195
丹後町此代,35.744671,135.138568
丹後町是安,35.702501,135.118314
丹後町小脇,35.712956,135.165828
丹後町成願寺,35.705884,135.109153
丹後町袖志,35.762942,135.212091
丹後町間人,35.729017,135.093990
丹後町竹野,35.742150,135.111000
丹後町竹久僧,35.712929,135.175390
丹後町谷内,35.745796,135.181017
丹後町力石,35.713412,135.140935
丹後町徳光,35.707604,135.091499
丹後町中野,35.742918,135.158680
丹後町中浜,35.759204,135.183344
丹後町畑,35.729959,135.175616
丹後町筆石,35.741893,135.120898
丹後町平,35.747961,135.160499
丹後町宮,35.731812,135.108358
丹後町三宅,35.718355,135.104919
丹後町三山,35.720159,135.176370
丹後町矢畑,35.725850,135.123086
丹後町吉永,35.714615,135.124871
峰山町赤坂,35.639681,135.057879
峰山町荒山,35.617669,135.085568
峰山町石丸,35.648842,135.051359
峰山町泉,35.620453,135.060540
峰山町御旅,35.623059,135.058066
峰山町織元,35.627187,135.055123
峰山町上,35.627806,135.056907
峰山町光明寺,35.617426,135.061821
峰山町五箇,35.569033,135.046153
峰山町小西,35.616489,135.041636
峰山町呉服,35.624692,135.058478
峰山町堺,35.623999,135.055743
峰山町四軒,35.631748,135.056468
峰山町白銀,35.623330,135.059091
峰山町新,35.612869,135.097638
峰山町杉谷,35.625061,135.063606
峰山町菅,35.612992,135.064206
峰山町丹波,35.631887,135.074789
峰山町千歳,35.622235,135.057120
峰山町内記,35.629914,135.087641
峰山町長岡,35.598350,135.062216
峰山町浪花,35.623791,135.057487
峰山町二箇,35.597634,135.040932
峰山町西山,35.621628,135.026915
峰山町新治,35.607505,135.041532
峰山町橋木,35.654571,135.067972
峰山町久次,35.592123,135.022071
峰山町富貴屋,35.624463,135.057129
峰山町不断,35.629547,135.057319
峰山町古殿,35.624913,135.054923
峰山町鱒留,35.563239,135.013490
峰山町室,35.626178,135.057581
峰山町安,35.623712,135.047799
峰山町矢田,35.639991,135.076257
峰山町吉原,35.629295,135.052866
弥栄町井辺,35.683073,135.089312
弥栄町芋野,35.640744,135.106003
弥栄町木橋,35.666190,135.071957
弥栄町国久,35.690663,135.088439
弥栄町黒部,35.682341,135.107220
弥栄町小田,35.694513,135.106969
弥栄町須川,35.674586,135.170806
弥栄町堤,35.652786,135.099988
弥栄町等楽寺,35.637828,135.131756
弥栄町鳥取,35.683451,135.077408
弥栄町野中,35.699011,135.157046
弥栄町船木,35.671750,135.121850
弥栄町溝谷,35.656847,135.120283
弥栄町吉沢,35.635896,135.096632
弥栄町和田野,35.654887,135.084409
