name,latitude,longitude
京都府,京都市南区
戒光寺,34.984746,135.750700
上鳥羽麻ノ本,34.956584,135.745738
上鳥羽石橋,34.959768,135.745807
上鳥羽岩ノ本,34.959975,135.743685
上鳥羽卯ノ花,34.960806,135.749092
上鳥羽馬廻,34.962454,135.736320
上鳥羽大溝,34.961841,135.746687
上鳥羽大柳,34.968234,135.747396
上鳥羽戒光,34.964326,135.736903
上鳥羽戒光,34.965323,135.739444
上鳥羽金仏,34.959861,135.737592
上鳥羽上調子,34.970362,135.744446
上鳥羽鴨田,34.963457,135.746136
上鳥羽唐戸,34.973871,135.741944
上鳥羽川端,34.963236,135.740552
上鳥羽勧進橋,34.969793,135.760164
上鳥羽北戒光,34.966553,135.739292
上鳥羽北島田,34.966567,135.744202
上鳥羽北塔ノ本,34.966431,135.750635
上鳥羽北中ノ坪,34.969899,135.741354
上鳥羽北花名,34.966432,135.747278
上鳥羽北村山,34.966744,135.741487
上鳥羽清井,34.959763,135.739576
上鳥羽尻切,34.969247,135.752735
上鳥羽城ケ前,34.963598,135.743683
上鳥羽菅田,34.972273,135.747314
上鳥羽大物,34.968206,135.750514
上鳥羽高畠,34.972326,135.744575
上鳥羽町田,34.963529,135.748474
上鳥羽角田,34.970259,135.747462
上鳥羽塔ノ本,34.964409,135.750658
上鳥羽塔ノ森梅ノ木,34.958636,135.736381
上鳥羽塔ノ森江川,34.953184,135.737939
上鳥羽塔ノ森上河原,34.948892,135.737923
上鳥羽塔ノ森上開ノ内,34.958779,135.733801
上鳥羽塔ノ森柴東,34.956689,135.738460
上鳥羽塔ノ森下河原,34.944288,135.739237
上鳥羽塔ノ森下開ノ内,34.955974,135.734326
上鳥羽塔ノ森洲崎,34.947847,135.740184
上鳥羽塔ノ森西河原,34.952646,135.735537
上鳥羽塔ノ森東向,34.953331,135.740504
上鳥羽塔ノ森柳原,34.948013,135.735869
上鳥羽塔ノ森四ツ谷,34.951845,135.736769
上鳥羽中河原,34.958252,135.746956
上鳥羽奈須野,34.955669,135.743323
上鳥羽鍋ケ淵,34.962103,135.741749
上鳥羽苗代,34.970104,135.757898
上鳥羽西浦,34.956085,135.740816
上鳥羽八王神,34.958886,135.741582
上鳥羽花名,34.964515,135.746020
上鳥羽火打形,34.957916,135.748607
上鳥羽仏現寺,34.970181,135.750559
上鳥羽鉾立,34.970119,135.755151
上鳥羽堀子,34.968462,135.744226
上鳥羽南唐戸,34.971802,135.742074
上鳥羽南島田,34.965001,135.743745
上鳥羽南塔ノ本,34.965150,135.750561
