let,num
園,45
部,45
町,126
天,2
引,1
瓜,1
生,4
野,7
大,6
河,4
内,5
戸,2
西,3
越,1
方,1
小,4
山,46
東,1
上,6
木,34
崎,3
本,2
原,8
口,2
人,2
熊,2
黒,1
田,10
司,2
桜,1
栄,1
佐,3
切,1
宍,1
城,1
南,5
新,2
堂,1
千,1
妻,1
高,2
屋,5
竹,1
井,2
殿,2
谷,7
仁,1
江,3
埴,1
半,1
船,3
岡,2
阪,1
法,1
京,1
八,30
横,1
若,3
松,1
森,1
日,15
吉,16
胡,2
麻,2
畑,3
住,1
々,2
志,1
和,3
賀,3
中,3
世,1
郷,3
保,2
四,1
ツ,1
美,43
安,1
掛,1
芦,1
荒,1
倉,1
泉,1
板,1
橋,2
久,1
音,2
海,1
渕,1
樫,1
平,2
萱,1
里,2
静,1
島,1
下,3
白,1
石,1
歌,1
知,1
見,2
鶴,1
ケ,1
豊,1
長,2
尾,1
添,1
肱,1
深,1
福,1
居,1
又,1
林,2
三,1
埜,1
宮,2
脇,1
向,1
盛,1
青,1
池,2
之,1
薮,1
刑,1
神,1
観,1
寺,1
北,2
広,2
瀬,2
柴,1
玉,1
ノ,1
鳥,1
羽,1
条,1
置,1
氷,1
所,1
枝,1
室,3
諸,1
嶋,1
曽,1
我,1
