name,latitude,longitude
京都府,京都市西京区
嵐山朝月,35.002107,135.687600
嵐山内田,35.004505,135.683717
嵐山上海道,35.008105,135.682002
嵐山上河原,35.012025,135.682228
嵐山北松尾山,35.019047,135.650819
嵐山元録山,35.009641,135.670446
嵐山虚空蔵山,35.009323,135.677298
嵐山谷ケ辻子,35.006100,135.683433
嵐山茶尻,35.009912,135.683706
嵐山中尾下,35.010067,135.678975
嵐山西一川,35.010435,135.680707
嵐山東一川,35.010314,135.682245
嵐山東海道,35.008060,135.686289
嵐山樋ノ上,35.010322,135.686021
嵐山風呂ノ橋,35.006145,135.687139
嵐山宮,35.000015,135.683221
嵐山宮ノ北,35.001285,135.684606
嵐山宮ノ前,35.000158,135.688048
嵐山森ノ前,35.004679,135.687268
嵐山薬師下,35.003023,135.684281
嵐山山田,35.008138,135.679213
嵐山山ノ下,35.005936,135.681469
牛ケ瀬青柳,34.973353,135.718111
牛ケ瀬葭ノ本,34.971852,135.719844
牛ケ瀬奥ノ防,34.973916,135.715669
牛ケ瀬川原口,34.972355,135.718844
牛ケ瀬新開,34.972431,135.721080
牛ケ瀬新田泓,34.970715,135.718812
牛ケ瀬高刎,34.978408,135.715813
牛ケ瀬堂田,34.969545,135.716778
牛ケ瀬西柿,34.971268,135.715287
牛ケ瀬林ノ本,34.975591,135.716430
牛ケ瀬的場,34.976227,135.717963
牛ケ瀬見附,34.969684,135.721062
牛ケ瀬南ノ口,34.971091,135.717114
牛ケ瀬山柿,34.969331,135.718504
牛ケ瀬弥生,34.971767,135.717743
大枝北沓掛,34.989701,135.655565
大枝北福西,34.963966,135.679396
大枝沓掛,34.984200,135.646045
大枝塚原,34.976365,135.671869
大枝中山,34.972555,135.677152
大枝西新林,34.971960,135.667018
大枝西長,34.970150,135.658571
大枝東新林,34.969903,135.672007
大枝東長,34.967781,135.679798
大枝南福西,34.957997,135.683171
大原野石作,34.946705,135.632918
大原野出灰,34.936580,135.611042
大原野石見,34.948160,135.679870
大原野上羽,34.948121,135.673037
大原野小塩,34.938017,135.647817
大原野上里男鹿,34.949203,135.687068
大原野上里勝山,34.948253,135.690467
大原野上里北ノ,34.953764,135.681761
大原野上里鳥見,34.946740,135.690958
大原野上里南ノ,34.949701,135.684857
大原野上里紅葉,34.949961,135.689564
大原野北春日,34.966925,135.647299
大原野外畑,34.963898,135.623030
大原野西境谷,34.963456,135.667351
大原野西竹の里,34.957715,135.669940
大原野灰方,34.945213,135.665716
大原野東境谷,34.964321,135.673029
大原野東竹の里,34.959603,135.674811
大原野東野,34.947984,135.695299
大原野南春日,34.960645,135.637087
樫原畔ノ海道,34.970491,135.693435
樫原池ノ上,34.975414,135.691287
樫原石畑,34.975106,135.695888
樫原井戸,34.970037,135.695368
樫原芋峠,34.971015,135.680690
樫原宇治井,34.974453,135.694748
樫原宇治井西,34.974656,135.693261
樫原内垣外,34.970396,135.690387
樫原江ノ本,34.971071,135.694663
樫原大亀谷,34.967689,135.688482
樫原岡南ノ庄,34.968386,135.691072
樫原上池田,34.973783,135.690447
樫原上ノ,34.974121,135.689341
樫原釘貫,34.968586,135.692147
樫原口戸,34.972089,135.694703
樫原久保,34.975954,135.692491
樫原甲水,34.969057,135.697619
樫原五反田,34.972092,135.695926
樫原権現原,34.969104,135.689166
樫原里ノ垣外,34.968967,135.693482
樫原鴫谷,34.974129,135.682401
樫原下池田,34.973880,135.692850
樫原下ノ,34.974536,135.690728
樫原勝後谷,34.969808,135.688128
樫原杉原,34.972021,135.690479
樫原角田,34.970047,135.692436
樫原蛸田,34.975762,135.689877
樫原田中,34.971066,135.692302
樫原茶ノ木本,34.974230,135.696179
樫原塚ノ本,34.972449,135.692185
樫原佃,34.975791,135.694934
樫原百々ケ池,34.970538,135.686849
樫原中垣外,34.973008,135.690939
樫原庭井,34.971147,135.695911
樫原硲,34.972876,135.689620
樫原秤谷,34.971644,135.685533
樫原八反田,34.971119,135.698282
樫原比恵田,34.968979,135.695333
樫原平田,34.972525,135.693389
樫原盆山,34.974628,135.687398
樫原前田,34.970441,135.691601
樫原水築,34.973100,135.694724
樫原三宅,34.972233,135.697109
樫原山路,34.971061,135.697087
