name,latitude,longitude
三重県,伊賀市
愛田,34.810465,136.225268
阿保,34.666310,136.178221
青山羽根,34.657392,136.170003
朝日ケ丘,34.678363,136.150711
阿山ハイツ,34.814231,136.170824
荒木,34.764527,136.167846
石川,34.844148,136.152774
印代,34.788572,136.145980
出後,34.747556,136.228421
伊勢路,34.667488,136.257335
猪田,34.717238,136.141646
一之宮,34.786877,136.163016
市部,34.730030,136.182180
依那具,34.737239,136.144162
岩倉,34.779519,136.098479
上野相生,34.764891,136.132515
上野赤坂,34.768258,136.134935
上野愛宕,34.759827,136.129147
上野池,34.761793,136.133482
上野伊予,34.764693,136.135878
上野魚,34.765516,136.131429
上野恵美須,34.761067,136.132657
上野鍛冶,34.765720,136.133097
上野片原,34.766134,136.133007
上野茅,34.761330,136.135857
上野車坂,34.767606,136.142591
上野桑,34.757880,136.134265
上野玄蕃,34.768639,136.134007
上野幸坂,34.766111,136.124630
上野小玉,34.765249,136.128563
上野紺屋,34.764502,136.130069
上野三之西,34.764329,136.127671
上野忍,34.763242,136.130302
上野下幸坂,34.766266,136.120504
上野新,34.765648,136.133712
上野田端,34.764688,136.138781
上野鉄砲,34.760712,136.127957
上野寺,34.763962,136.134845
上野徳居,34.763371,136.124907
上野中,34.765989,136.128337
上野西大手,34.767751,136.122868
上野西日南,34.760514,136.130288
上野西,34.765679,136.125950
上野農人,34.767257,136.136678
上野東日南,34.760611,136.131222
上野東,34.766280,136.131492
上野福居,34.764790,136.125298
上野丸之内,34.769566,136.128784
上野向島,34.765318,136.123542
上野万,34.760302,136.126080
上林,34.687887,136.163047
上村,34.830176,136.228725
内保,34.882192,136.171535
円徳院,34.811530,136.177313
老川,34.642201,136.207235
大内,34.737436,136.106459
大滝,34.691270,136.084160
大谷,34.797940,136.134269
大野木,34.745787,136.105988
岡田,34.678791,136.194089
岡波,34.696894,136.187440
沖,34.718002,136.171821
奥鹿野,34.652337,136.243151
奥馬野,34.724920,136.287635
小田,34.774187,136.119149
音羽,34.819941,136.132252
界外,34.746118,136.180656
笠部,34.734921,136.129982
柏尾,34.669732,136.195965
炊村,34.782089,136.204847
鍛冶屋,34.699739,136.124957
柏野,34.817690,136.189942
勝地,34.694745,136.265424
桂,34.679529,136.092267
上阿波,34.778378,136.306104
上神戸,34.679255,136.138288
上郡,34.702843,136.146841
上友田,34.849413,136.212647
上友生,34.739652,136.187224
上之庄,34.732858,136.114745
川合,34.819998,136.169139
川上,34.645026,136.182297
川西,34.796373,136.200392
木興,34.761019,136.119761
北山,34.685460,136.222879
希望ヶ丘東,34.787532,136.232577
桐ケ丘,34.665260,136.186818
霧生,34.607034,136.229793
久米,34.754622,136.140668
蔵縄手,34.696123,136.113634
甲野,34.775544,136.228431
腰山,34.626804,136.216619
小杉,34.854533,136.232062
西明寺,34.765245,136.154160
才良,34.710598,136.179100
坂下,34.714435,136.246970
坂之下,34.804991,136.156264
佐那具,34.799715,136.169509
四十九,34.744391,136.135738
七本木,34.731955,136.092255
島ヶ原,34.770733,136.054330
下阿波,34.749248,136.268714
下川原,34.684995,136.199399
下神戸,34.691430,136.181053
下郡,34.712737,136.147714
下柘植,34.818022,136.236770
下友田,34.840846,136.191238
下友生,34.750084,136.157252
菖蒲池,34.704925,136.115234
白樫,34.729774,136.076336
新堂,34.825747,136.202714
摺見,34.716591,136.199585
諏訪,34.821919,136.107872
千貝,34.834890,136.169805
千歳,34.791602,136.168757
千戸,34.782523,136.185846
高尾,34.590251,136.210764
高畑,34.779773,136.157189
高山,34.723178,136.216060
瀧,34.707116,136.245699
楯岡,34.831595,136.214272
種生,34.630720,136.190818
田中,34.826445,136.185865
玉瀧,34.868503,136.172631
朝屋,34.755229,136.105420
柘植,34.846303,136.255628
土橋,34.800079,136.146729
寺田,34.779393,136.169473
寺脇,34.677852,136.186479
富岡,34.755272,136.214036
富永,34.779089,136.264390
外山,34.804835,136.161964
問屋,34.751655,136.144300
長田,34.767150,136.093566
中柘植,34.835048,136.228380
中友田,34.847871,136.195019
中友生,34.749234,136.168731
中馬野,34.718091,136.268180
中村,34.758086,136.232617
西条,34.800064,136.151376
西高倉,34.794799,136.094135
西之澤,34.800611,136.186001
西山,34.790815,136.077805
西湯舟,34.862314,136.192374
野間,34.794615,136.117788
野村,34.838160,136.234695
波敷野,34.821828,136.151829
蓮池,34.737883,136.208174
馬田,34.837772,136.178556
畑村,34.771769,136.202624
治田,34.710864,136.075153
服部,34.781188,136.138056
羽根,34.780277,136.150676
馬場,34.826620,136.173653
東条,34.796978,136.155053
東高倉,34.790292,136.111441
東谷,34.689985,136.124526
東湯舟,34.863368,136.210038
比自岐,34.703225,136.197749
枅川,34.703034,136.162341
比土,34.653651,136.156837
一ツ家,34.850807,136.282745
平田,34.762670,136.213119
平野北谷,34.773784,136.128013
平野蔵垣内,34.769696,136.140967
平野清水,34.776985,136.130208
平野城北,34.774183,136.132050
平野中川原,34.775833,136.129336
平野西,34.772740,136.135776
平野東,34.771415,136.139004
平野樋之口,34.770779,136.134288
平野見能,34.772089,136.132853
平野山之下,34.773047,136.130539
