let,num
愛,2
田,17
阿,4
保,2
青,1
山,13
羽,3
根,2
朝,2
日,3
ケ,7
丘,9
ハ,1
イ,1
ツ,2
荒,1
木,5
石,1
川,9
印,1
代,3
出,2
後,1
伊,2
勢,1
路,1
猪,1
一,2
之,8
宮,1
市,1
部,3
依,1
那,2
具,2
岩,1
倉,3
上,44
野,57
相,1
生,7
赤,1
坂,6
宕,1
池,3
予,2
魚,1
恵,1
美,1
須,1
鍛,2
冶,2
片,1
原,4
茅,1
車,1
桑,1
玄,1
蕃,1
幸,2
小,3
玉,2
紺,1
屋,5
三,2
西,13
忍,1
下,11
新,2
端,1
鉄,1
砲,1
寺,6
徳,2
居,2
中,9
大,5
手,2
南,3
農,1
人,1
東,9
福,2
丸,2
内,4
向,1
島,2
万,1
林,1
村,5
円,1
院,1
老,1
滝,1
谷,4
岡,4
波,4
沖,1
奥,2
鹿,1
馬,4
音,1
界,2
外,3
笠,1
柏,2
尾,2
炊,1
勝,1
地,2
桂,1
神,3
戸,3
郡,3
友,6
庄,1
合,1
興,1
北,3
希,1
望,1
ヶ,2
桐,1
霧,1
久,1
米,1
蔵,2
縄,1
甲,1
腰,1
杉,1
明,1
才,1
良,1
佐,1
四,1
十,1
九,1
七,1
本,2
柘,3
植,3
菖,1
蒲,1
白,1
樫,1
堂,1
摺,1
見,2
諏,1
訪,1
千,3
貝,1
歳,1
高,5
畑,3
瀧,2
楯,1
種,1
土,2
橋,1
脇,1
富,2
永,1
問,1
長,1
条,2
澤,1
湯,4
舟,3
間,1
敷,1
蓮,1
治,1
服,1
場,2
比,2
自,1
岐,1
枅,1
家,1
平,12
垣,1
清,1
水,1
城,1
樋,1
口,1
能,1
六,1
反,1
広,1
瀬,1
古,2
琉,1
里,1
別,1
府,1
鳳,1
凰,1
喰,1
法,1
花,1
槙,1
猿,1
柱,1
御,1
緑,5
真,1
泥,1
妙,1
楽,1
守,1
森,1
諸,1
安,1
八,1
幡,1
ゆ,1
め,1
が,1
陽,1
光,1
台,1
