name,latitude,longitude
三重県,いなべ市
員弁町石仏,35.110331,136.563477
員弁町市之原,35.148834,136.563893
員弁町宇野,35.120012,136.552102
員弁町大泉,35.097076,136.568894
員弁町大泉新田,35.106259,136.56791
員弁町岡丁田,35.104921,136.578802
員弁町笠田新田,35.123383,136.556291
員弁町上笠田,35.126234,136.548531
員弁町北金井,35.100594,136.556621
員弁町暮明,35.11324,136.584414
員弁町下笠田,35.110765,136.550868
員弁町楚原,35.120208,136.566109
員弁町西方,35.095326,136.561732
員弁町畑新田,35.115594,136.569366
員弁町坂東新田,35.134959,136.555705
員弁町東一色,35.092617,136.57226
員弁町平古,35.12766,136.576645
員弁町松名新田,35.132761,136.577756
員弁町松之木,35.107121,136.57344
員弁町御薗,35.108278,136.555061
大安町石榑北山,35.121822,136.490735
大安町石榑下,35.110354,136.529361
大安町石榑南,35.105592,136.474479
大安町宇賀,35.094744,136.497906
大安町宇賀新田,35.092282,136.51340199999999
大安町梅戸,35.07216,136.556915
大安町大泉,35.085243,136.561569
大安町大井田,35.0927,136.53971199999998
大安町片樋,35.120036,136.533602
大安町高柳,35.109107,136.543148
大安町中央ヶ丘,35.099133,136.531981
大安町鍋坂,35.095811,136.520959
大安町丹生川上,35.122389,136.503967
大安町丹生川中,35.121622,136.518334
大安町丹生川久下,35.121785,136.526511
大安町平塚,35.104135,136.533419
大安町南金井,35.077889,136.539499
大安町門前,35.084447,136.547856
藤原町石川,35.154678,136.502973
藤原町市場,35.17633,136.492037
藤原町上之山田,35.215848,136.477452
藤原町大貝戸,35.168472,136.475494
藤原町鼎,35.226512,136.488574
藤原町上相場,35.201319,136.498639
藤原町川合,35.172684,136.502248
藤原町坂本,35.175942,136.459173
藤原町篠立,35.213723,136.445127
藤原町下相場,35.176778,136.505314
藤原町下野尻,35.158496,136.503155
藤原町志礼石新田,35.169898,136.497403
藤原町東禅寺,35.148383,136.492198
藤原町長尾,35.186417,136.496162
藤原町西野尻,35.163744,136.488489
藤原町日内,35.181739,136.498503
藤原町藤ヶ丘,35.191596,136.486141
藤原町古田,35.228011,136.459418
藤原町本郷,35.193275,136.423219
藤原町山口,35.188689,136.451236
北勢町阿下喜,35.151621,136.518899
北勢町飯倉,35.160906,136.521426
北勢町麻生田,35.133366,136.536054
北勢町大辻新田,35.149246999999995,136.540276
北勢町奥村,35.12865,136.499653
北勢町垣内,35.136094,136.501061
北勢町川原,35.222717,136.509683
北勢町北中津原,35.170411,136.559622
北勢町京ヶ野新田,35.181891,136.51167
北勢町小原一色,35.198413,136.558505
北勢町塩崎,35.186553,136.520283
北勢町下平,35.168644,136.520129
北勢町新,35.135407,136.458051
北勢町瀬木,35.157981,136.508958
北勢町千司久連新田,35.208716,136.524215
北勢町其原,35.138062,136.543225
北勢町田辺,35.196552,136.522513
北勢町皷,35.171707,136.54763
北勢町中山,35.130776,136.516905
北勢町西貝野,35.172376,136.529365
北勢町二之瀬,35.21642,136.540134
北勢町畑毛,35.181626,136.529008
北勢町治田外面,35.136401,136.524459
北勢町東貝野,35.178193,136.542587
北勢町東村,35.149441,136.531779
北勢町平野新田,35.159411,136.544315
北勢町麓村,35.129622,136.509286
北勢町別名,35.1483,136.469501
北勢町南中津原,35.164812,136.566198
北勢町向平,35.17508,136.521881
