name,latitude,longitude
三重県,多気郡多気町
朝長,34.519128,136.567020
朝柄,34.454850,136.441676
荒蒔,34.505652,136.551924
井内林,34.494021,136.511738
兄国,34.511392,136.558613
相可,34.497618,136.541041
相鹿瀬,34.455911,136.559959
相可台,34.500256,136.548547
弟国,34.519133,136.574437
笠木,34.490369,136.580094
片野,34.473630,136.451176
上出江,34.476221,136.463460
車川,34.431364,136.438047
鍬形,34.495874,136.501380
神坂,34.477846,136.521858
河田,34.516955,136.584005
五桂,34.469845,136.546347
五佐奈,34.497366,136.562948
佐伯中,34.495757,136.518525
三疋田,34.494344,136.523044
色太,34.450225,136.492421
四神田,34.479395,136.562970
四疋田,34.494747,136.530398
下出江,34.474159,136.474385
多気,34.515643,136.570467
田中,34.481429,136.570039
土屋,34.443529,136.467090
津留,34.495402,136.488144
土羽,34.501084,136.585617
丹生,34.473504,136.496290
西池上,34.506512,136.565024
西山,34.489563,136.556903
仁田,34.487368,136.544239
野中,34.465960,136.572356
長谷,34.481672,136.511235
波多瀬,34.472455,136.422495
東池上,34.508180,136.577946
平谷,34.477381,136.537506
古江,34.461489,136.479201
前村,34.465688,136.522875
牧,34.502775,136.490494
森荘,34.482674,136.578260
矢田,34.490011,136.569672
油夫,34.473428,136.558643
ヴィソン,34.459011,136.515175
