let,num
相,1
生,4
青,1
葉,2
あ,3
が,7
た,1
丘,7
か,2
つ,2
き,4
台,12
赤,4
堀,5
新,17
南,13
阿,4
倉,7
川,16
曙,2
水,4
さ,2
け,1
朝,2
明,1
日,7
雨,1
池,2
天,2
カ,3
須,3
賀,3
伊,4
桑,1
坂,11
石,2
塚,4
原,7
市,1
場,3
稲,1
浮,1
橋,1
内,2
山,18
釆,2
女,2
鵜,1
の,5
森,2
午,1
起,2
江,1
村,5
追,1
分,2
桜,5
花,2
塩,3
浜,20
末,4
永,6
泊,4
西,17
馳,2
出,2
羽,4
津,6
東,14
松,9
本,9
茂,3
福,3
六,2
呂,1
見,2
大,13
井,3
手,2
鐘,2
谷,4
宮,4
矢,2
知,2
沖,1
島,4
小,13
古,3
曽,3
尾,3
上,2
治,1
田,28
平,6
貝,2
家,1
霞,1
金,2
海,3
老,2
萱,1
合,1
北,13
尻,1
河,1
条,1
納,3
屋,4
野,7
京,1
楠,7
町,7
一,4
色,4
五,2
味,2
郷,2
吉,2
崎,2
九,1
城,6
久,1
保,1
蔵,1
黒,1
黄,1
杉,2
寿,1
林,1
牧,1
幸,1
栄,6
部,6
笹,1
札,1
三,7
郎,1
鹿,1
間,1
芝,1
清,1
下,3
ざ,1
ら,1
い,2
之,2
十,2
七,2
軒,1
志,1
昌,1
泉,1
白,1
正,1
々,1
沢,2
広,3
菅,1
住,1
諏,2
訪,2
協,1
高,7
旭,2
砂,1
角,1
宝,1
垂,4
智,1
積,1
千,3
歳,1
中,9
代,2
寺,2
方,1
堂,1
ケ,3
邦,1
と,1
わ,1
柳,2
富,12
州,1
元,3
里,2
浦,1
地,1
波,3
木,5
八,4
王,1
子,1
幡,1
園,1
万,1
士,1
双,1
別,2
名,2
前,1
蒔,1
ま,1
重,1
美,1
御,1
薗,1
滝,2
ツ,2
緑,1
る,1
道,1
み,1
ゆ,1
室,1
安,1
和,1
無,1
陶,1
