let,num
川,19
内,15
明,3
神,3
横,2
丁,3
臨,1
済,1
院,2
大,4
亀,3
岡,4
北,6
裏,2
工,1
東,3
照,1
宮,3
山,10
屋,2
敷,1
中,8
ノ,1
瀬,2
国,3
分,1
菊,1
田,5
吉,4
成,4
台,5
貝,1
ケ,10
森,4
愛,4
子,5
小,3
松,5
島,2
原,4
花,3
京,1
目,1
澱,1
橋,2
通,4
勝,2
央,3
南,1
春,1
日,2
平,3
米,1
袋,1
前,2
荒,4
巻,4
本,2
沢,3
折,1
立,2
一,1
番,1
あ,1
け,1
ぼ,1
の,2
錦,2
梅,1
根,3
双,1
葉,4
丘,5
上,2
杉,1
片,1
支,2
倉,3
見,2
藤,1
栗,1
生,1
福,1
五,2
江,1
手,2
青,2
角,1
郎,1
堤,3
昭,1
和,1
み,1
や,1
ぎ,1
木,3
町,1
千,1
代,1
水,1
桜,2
向,1
高,2
野,1
鷺,1
落,1
合,1
八,1
幡,1
柏,1
西,2
苑,1
二,1
赤,1
坂,2
土,1
樋,1
三,2
条,1
ニ,1
ッ,1
カ,1
黒,1
新,3
滝,1
道,1
広,1
旭,1
公,2
園,2
星,1
陵,1
追,1
廻,1
雨,1
壇,1
元,1
十,1
人,1
霊,1
下,2
林,1
熊,1
郷,1
六,1
茂,1
庭,1
作,1
並,1
芋,1
