let,num
字,547
大,27
門,24
四,4
番,70
町,25
浦,16
十,1
芋,45
沢,119
家,3
ノ,26
下,71
味,25
ケ,32
袋,29
弥,1
助,1
前,23
北,29
一,47
赤,7
塚,10
野,78
目,58
蓬,2
田,71
西,30
堰,8
端,8
焼,4
橋,11
原,241
檀,7
上,58
城,7
蟹,4
柏,4
長,25
清,23
水,40
二,18
ツ,3
宮,10
崎,9
道,4
鹿,134
東,17
向,13
南,29
江,1
表,1
芳,2
谷,22
地,21
新,27
堀,5
台,8
沼,8
舟,4
空,2
土,2
手,3
内,11
関,1
場,6
川,39
五,3
百,6
刈,5
中,43
仁,2
平,9
屋,25
敷,24
梶,1
賀,1
八,11
皆,3
伝,3
寺,9
明,4
膳,2
街,1
嶋,14
品,2
木,16
裏,7
九,1
小,29
柳,8
伊,3
御,3
勢,2
々,2
岩,4
漆,24
岸,5
瀬,15
熊,1
堂,12
宿,6
六,2
口,5
岳,2
山,27
幡,4
鶯,1
穴,5
島,2
越,3
保,10
室,2
坂,17
坪,3
矢,5
倉,3
七,1
旧,2
舘,3
渡,2
戸,2
千,1
本,3
神,3
三,11
外,3
泉,3
薬,8
師,5
久,8
首,1
堤,2
指,2
タ,1
曲,3
松,5
切,2
石,7
片,3
貝,3
遅,1
高,4
河,2
欠,5
庄,2
右,2
衛,4
雷,6
王,3
子,4
桑,3
畑,20
善,1
源,2
治,2
郎,1
広,1
見,1
栗,2
伏,4
楜,2
瀞,1
頭,2
林,4
梨,1
村,5
峰,4
枚,1
藤,3
兵,2
岡,1
名,1
羽,4
志,3
森,6
合,2
角,1
桜,1
窪,2
照,4
井,4
里,2
別,1
底,5
法,1
昌,1
孫,2
荒,3
立,2
深,1
草,1
樋,1
馬,2
際,1
鯨,1
植,1
互,1
掃,2
留,1
天,1
永,2
権,1
現,1
宇,3
津,1
諸,2
阪,1
尻,1
勝,1
路,3
押,1
登,1
輪,1
板,3
休,1
ヶ,1
反,1
出,1
ト,1
打,1
杉,4
滝,4
札,1
伯,1
日,3
陰,1
羅,1
記,1
間,1
蕨,1
茨,1
昼,1
佳,1
安,1
の,1
筒,1
砂,1
鶴,1
美,1
君,1
雑,1
式,1
住,1
吉,1
雁,1
楢,2
実,4
莱,3
郷,1
用,1
花,2
庭,1
狼,2
狢,1
株,1
糸,1
〆,1
生,1
網,1
又,1
峠,1
蜂,1
横,1
風,1
麓,1
月,1
鳥,2
市,1
米,1
葡,1
萄,1
菜,1
多,2
和,1
青,4
