name,latitude,longitude
宮城県,気仙沼市
下新田,38.911353,141.547413
一景島,38.892686,141.586547
岩ヶ崎,38.906347,141.54776
田谷前,38.900021,141.563386
南町海岸,38.905657999999995,141.575119
反松,38.885778,141.55068
黒沢,38.963274,141.526084
明戸,38.901944,141.551861
南,38.90511,141.574413
魚,38.907500999999996,141.575609
浜,38.91028,141.584679
八日,38.906937,141.570738
新早稲谷,38.942984,141.534928
河原田,38.900916,141.576215
浜見山,38.9039,141.572286
陣山,38.908955999999996,141.577946
化粧坂,38.904355,141.564095
三日,38.905317,141.568079
本吉町馬籠,38.776163,141.445377
川畑,38.898959,141.567362
柏崎,38.903057,141.57681
小前見島,38.850083,141.638624
太田,38.909419,141.57557599999998
本浜,38.91185,141.585099
内の脇,38.891453,141.580773
田中前,38.893011,141.563967
新,38.906689,141.564902
沢田,38.904539,141.56981
入沢,38.908733,141.573424
福美,38.909256,141.565718
最知森合,38.85034,141.581928
本吉町泉,38.767605,141.504164
唐桑町唯越,38.931383,141.633134
神山,38.89181,141.567798
本吉町窪,38.818226,141.56373
波路上牧,38.830753,141.587354
潮見,38.891991,141.584309
大前見島,38.843204,141.642187
川口,38.888515,141.588399
本,38.902225,141.562707
長磯浜,38.838251,141.588172
長磯前林,38.840664,141.577804
波路上向原,38.827698,141.578394
波路上向田,38.828699,141.580356
波路上崎野,38.829444,141.594787
新田,38.91109,141.549778
上田中,38.888787,141.554596
長磯牧通,38.835741,141.575532
東新城,38.903296,141.552657
長磯二本松,38.832402,141.57546
長磯後沢,38.846285,141.578415
本吉町田の沢,38.806052,141.551289
古,38.913648,141.553719
長磯原,38.835992,141.5803
最知川原,38.854508,141.581405
本吉町滝根,38.816442,141.559251
港,38.9023,141.578622
長磯船原,38.841176,141.581255
唐桑町港,38.960807,141.631638
田谷,38.896661,141.565228
赤岩前田,38.869322,141.533583
赤岩舘下,38.8887,141.573349
波路上原,38.832121,141.583053
赤岩大滝,38.879197,141.536968
長磯下原,38.838936,141.583601
本吉町津谷明戸,38.789248,141.503273
長磯森,38.846247,141.582714
赤岩泥ノ木,38.881792,141.570109
赤岩平貝,38.884777,141.563058
波路上後原,38.833583,141.584745
長磯原ノ沢,38.839064,141.575786
松崎下赤田,38.865465,141.573608
赤岩小田,38.886975,141.559783
滝の入,38.9114,141.563403
松崎馬場,38.868487,141.572886
松崎尾崎,38.869916,141.586274
舘山,38.906608,141.555729
長磯七半沢,38.842419,141.585258
波路上杉ノ下,38.82705,141.588082
長磯赤貝,38.837622,141.568073
赤岩舘森,38.888198,141.576719
本吉町今朝磯,38.75746,141.525792
波路上内沼,38.832691,141.596576
本吉町土樋下,38.833136,141.568585
松川前,38.913696,141.545829
駒形,38.843048,141.619122
波路上明戸,38.825461,141.590307
松崎五駄鱈,38.876462,141.57504
赤岩老松,38.884846,141.574063
赤岩杉ノ沢,38.888323,141.567027
本吉町沖の田,38.825016,141.580091
本吉町大森,38.806105,141.539107
松崎中瀬,38.873001,141.579734
本吉町馬籠町頭,38.771102,141.440388
岩月台ノ沢,38.859533,141.582656
波路上岩井崎,38.830816,141.601151
四反田,38.900787,141.558043
松崎丸森,38.874219,141.563334
本吉町風越,38.786528,141.514437
波路上内田,38.834879,141.588019
柳沢,38.911262,141.525679
波路上瀬向,38.831626,141.591445
朝日,38.888801,141.591692
松崎面瀬,38.86569,141.557456
松崎猫渕,38.866266,141.548813
本吉町天ヶ沢,38.804529,141.554389
松崎浦田,38.877435,141.580091
前木,38.915747,141.493658
赤岩石兜,38.884443,141.56875
町裏,38.912556,141.56903
波路上野田,38.829282,141.582643
要害,38.846765,141.615145
赤岩迎前田,38.864532,141.532063
唐桑町上川原,38.934897,141.626258
松崎地生,38.872039,141.563681
松崎上赤田,38.866231,141.566542
本吉町赤牛,38.798657,141.534578
赤岩港,38.886643,141.58307
松崎鶴巻,38.869295,141.565728
外畑,38.86359,141.620522
浅根,38.850939,141.615066
本吉町歌生,38.754066,141.523501
長磯中原,38.83598,141.570808
松崎萱,38.877742,141.569326
松崎前浜,38.880243,141.588636
本吉町野々下,38.822731,141.574343
大林,38.911819,141.53758
本吉町津谷松岡,38.791235,141.508131
高井,38.855682,141.612904
本吉町津谷松尾,38.785842,141.503585
本吉町小金沢,38.799326,141.528467
岩月星谷,38.858546,141.574466
最知北最知,38.853729,141.576861
本吉町直伝,38.829028,141.566891
唐桑町竹の袖,38.966702,141.632312
本吉町大沢,38.795265,141.519878
本吉町小浜,38.762869,141.51626
本吉町中平,38.761339,141.427228
本吉町大椚,38.798779,141.513979
本吉町谷地,38.800988,141.538197
松崎片浜,38.874115,141.585562
田尻,38.861993,141.609797
大向,38.857884,141.609403
岩月寺沢,38.862406,141.566109
西八幡前,38.923496,141.580821
赤岩大石倉,38.873796,141.534142
本吉町長根,38.821242,141.568078
本吉町蔵内,38.750587,141.526312
廻舘,38.859544,141.619271
川原崎,38.907147,141.544322
本吉町三島,38.814353,141.566293
本吉町後田,38.827862,141.573427
長崎,38.855414,141.621936
岩月千岩田,38.865382,141.582306
川崎尻,38.916127,141.505653
唐桑町小鯖,38.886598,141.648633
三ノ浜,38.888846,141.610815
