name,latitude,longitude
宮城県,栗原市
金成四ツ屋敷,38.806727,141.072858
金成入生田,38.810225,141.078216
志波姫下里,38.759619,141.040969
金成奉公田,38.809639,141.077244
金成上町東裏,38.807793,141.074818
築館字館下,38.727491,141.011445
築館字境田,38.735667,141.000251
築館字左野原,38.732374,140.996760
金成桜,38.807146,141.075160
金成新町裏,38.815020,141.074902
金成翁留,38.811614,141.077792
金成上,38.808274,141.073573
金成新,38.814279,141.075898
志波姫新日向,38.751424,141.095942
築館字内南沢,38.724287,141.027116
築館字堰下,38.739138,141.018474
金成中町西裏,38.812290,141.072626
金成上町西裏,38.809093,141.072127
築館宮野中央,38.747419,141.020056
金成金生,38.797422,141.088499
築館字外南沢,38.724539,141.029809
築館伊豆,38.729975,141.028569
金成台畑,38.814539,141.072377
金成中,38.811211,141.075483
築館高田,38.726942,141.028416
築館薬師,38.734750,141.017766
築館藤木,38.737266,141.017728
築館字唐竹林,38.732797,141.002110
築館字西小山,38.727692,141.016407
志波姫新糠塚,38.772496,141.094472
築館字館沢,38.725068,141.017747
築館薬師台,38.729614,141.016364
志波姫新八樟,38.752697,141.055904
志波姫間内東,38.749439,141.085564
志波姫芝の脇南,38.770127,141.111349
築館字小淵西,38.733467,140.999455
築館青野,38.735753,141.014080
築館新田,38.731929,141.009604
金成沢辺,38.798240,141.060030
志波姫中沖,38.759402,141.044382
志波姫下沖,38.760456,141.049165
志波姫台東,38.740122,141.069030
築館字久伝,38.737640,141.010773
築館字薬師ヶ丘,38.729151,141.007907
志波姫南堀口,38.741030,141.042784
志波姫新上戸,38.744562,141.075964
志波姫上戸南,38.740127,141.075383
志波姫高畑浦,38.765557,141.064273
築館木戸,38.732693,141.038720
築館字沢入,38.717623,141.020529
志波姫北伊豆野,38.773008,141.103879
築館字蟹沢,38.697927,140.997251
志波姫城内北,38.778472,141.106689
志波姫新原,38.752698,141.071008
志波姫南伊豆野,38.768545,141.102652
志波姫新刈敷,38.768437,141.053664
志波姫要害東,38.771987,141.072726
築館源光,38.734151,141.031399
志波姫大門南,38.757852,141.077527
志波姫館浦,38.763091,141.056287
築館字下待井,38.719909,141.027116
志波姫新間海,38.762581,141.106455
志波姫横峰浦,38.739183,141.062396
築館字新田,38.730376,141.001556
志波姫蔵場南,38.769363,141.064553
志波姫新沼崎,38.750928,141.061441
栗駒嶺崎,38.774520,140.993684
志波姫戸崎南,38.757209,141.093685
築館字留場,38.743026,141.019049
築館字赤坂,38.721108,141.016216
志波姫新橋本,38.755974,141.083188
志波姫花崎西,38.765828,141.073573
志波姫新大谷地,38.744531,141.060966
志波姫新熊谷,38.746513,141.069835
志波姫荒町北,38.771086,141.089618
金成新桜,38.801802,141.076598
金成梨崎,38.789743,141.068452
志波姫北郷,38.766603,141.088801
志波姫南八樟,38.744418,141.048482
栗駒渡丸,38.774627,141.007167
栗駒泉沢,38.780712,141.012087
築館字城生野,38.762234,141.034388
栗駒芋埣,38.772225,140.984250
金成新金生,38.802943,141.084515
築館字築館新八ツ沢,38.697600,141.004404
築館字荒田沢,38.722851,141.010506
志波姫伊豆野,38.779805,141.096737
築館字上高森,38.710178,140.970798
築館字下高森,38.716350,140.983862
金成小堤,38.804847,141.038011
志波姫北堀口,38.742095,141.031837
築館字築館蟹沢,38.691694,140.992819
志波姫沼崎,38.757749,141.065238
志波姫堀口,38.752049,141.031820
志波姫八樟,38.753064,141.047049
栗駒里谷,38.833731,141.016849
栗駒菱沼,38.796192,141.016655
築館字下宮野,38.753229,141.018849
金成大原木,38.812656,141.035941
築館字八沢,38.696877,141.021522
志波姫刈敷,38.774217,141.079110
栗駒八幡,38.804739,140.998900
金成小迫,38.812633,141.061093
栗駒桜田,38.793006,140.997843
金成姉歯,38.782699,141.063539
金成藤渡戸,38.854681,141.093899
栗駒岩ケ崎,38.834153,140.990965
栗駒深谷,38.845413,141.033584
金成津久毛,38.822887,141.039383
志波姫南郷,38.748804,141.099872
金成沢辺,38.796203,141.058876
栗駒猿飛来,38.816405,141.010385
栗駒中野,38.836341,140.954785
金成末野,38.846169,141.116525
金成赤児,38.861398,141.063537
栗駒片子沢,38.785892,140.970494
金成普賢堂,38.868554,141.040482
若柳有賀,38.815813,141.099728
金成有壁,38.865902,141.129419
栗駒稲屋敷,38.826067,140.960127
若柳武鎗,38.801668,141.125930
金成片馬合,38.872234,141.089176
一迫真坂,38.744145,140.942198
栗駒松倉,38.854010,140.957363
金成,38.824202,141.070064
一迫柳目,38.716698,140.968822
栗駒鳥沢,38.857510,141.004826
高清水,38.660339,141.003640
若柳,38.760503,141.131081
鶯沢,38.813086,140.932316
瀬峰,38.661356,141.052324
一迫,38.752390,140.872469
栗駒文字,38.856781,140.867317
栗駒沼倉,38.914641,140.851516
花山,38.855095,140.779739
栗駒栗原,38.789393,141.029682
築館,38.764460,141.009003
築館字照越,38.708658,141.013073
築館字萩沢,38.733808,141.051198
