let,num
金,33
成,31
四,1
ツ,2
屋,2
敷,4
入,2
生,4
田,8
志,40
波,40
姫,40
下,7
里,2
奉,1
公,1
上,6
町,5
東,4
裏,4
築,41
館,44
字,29
境,1
左,1
野,10
原,4
桜,3
新,18
翁,1
留,2
日,1
向,1
内,3
南,11
沢,16
堰,1
中,5
西,5
宮,2
央,1
外,1
伊,4
豆,4
台,3
畑,2
高,5
薬,3
師,3
藤,2
木,3
唐,1
竹,1
林,1
小,4
山,2
糠,1
塚,1
八,6
樟,3
間,2
芝,1
の,1
脇,1
淵,1
青,1
辺,2
沖,2
久,2
伝,1
ヶ,1
丘,1
堀,3
口,3
戸,5
浦,3
北,5
蟹,2
城,2
刈,2
要,1
害,1
源,1
光,1
大,3
門,1
待,1
井,1
海,1
横,1
峰,2
蔵,1
場,2
沼,4
崎,7
栗,20
駒,19
嶺,1
赤,2
坂,2
橋,1
本,1
花,2
谷,4
地,1
熊,1
荒,2
梨,1
郷,2
渡,2
丸,1
泉,1
芋,1
埣,1
森,2
堤,1
菱,1
幡,1
迫,4
姉,1
歯,1
岩,1
ケ,1
深,1
津,1
毛,1
猿,1
飛,1
来,1
末,1
児,1
片,2
子,1
普,1
賢,1
堂,1
若,3
柳,4
有,2
賀,1
壁,1
稲,1
武,1
鎗,1
馬,1
合,1
一,3
真,1
松,1
倉,2
目,1
鳥,1
清,1
水,1
鶯,1
瀬,1
文,1
照,1
越,1
萩,1
