name,latitude,longitude
宮城県,遠田郡美里町
字学田,38.538414,141.068609
字内役田,38.531539,141.078904
字中役田,38.534904,141.077943
字新藤ケ崎,38.538933,141.066010
字一本柳,38.525779,141.093072
字妻の神,38.532954,141.075203
字狐山,38.527158,141.097452
字砂子田,38.532132,141.078633
字下境,38.526663,141.098374
字小沼,38.530314,141.092255
字待井,38.527274,141.092460
字峯山浦,38.534771,141.076494
字小桜,38.544749,141.064710
字北原,38.530931,141.078733
字志賀殿,38.533300,141.069494
字上意江,38.531554,141.076606
字新大所,38.529740,141.083360
字塩釜添,38.526195,141.098672
字上新田,38.546318,141.067088
字下境沖,38.533567,141.101600
字二ツ檀,38.529844,141.085988
字籠田,38.531548,141.102722
字小町井,38.536850,141.068943
北浦,38.541888,141.060047
藤ケ崎,38.543146,141.061917
字塩釜,38.526077,141.096021
字勘堂,38.529845,141.089917
字素山,38.539626,141.064572
駅東,38.537499,141.067495
字新妻の神,38.532722,141.072600
字志賀,38.531432,141.069244
字藤ケ崎,38.541446,141.064276
字小沼添,38.530384,141.094479
字日光江,38.528814,141.100779
字役田,38.532440,141.076755
字塔ノ越,38.527876,141.084354
字藤ケ崎,38.540364,141.061195
字新田,38.532097,141.099630
字原田,38.529747,141.097618
字叔廼前,38.526631,141.081595
字素山,38.536760,141.062914
字新小沼,38.528327,141.091394
字化粧坂,38.534734,141.068185
南牧の目,38.590834,141.015463
字桜木,38.537367,141.058921
字西舘,38.529059,141.079421
字新一本柳,38.526508,141.089697
字峯山,38.536165,141.072665
南高城,38.584125,141.046517
字大所,38.532994,141.083169
成田,38.586429,141.006817
中高城,38.588554,141.043899
字新峯山,38.539667,141.076548
字後藤江,38.535555,141.088165
福ケ袋,38.514539,141.111762
関根,38.568814,141.002100
牛飼,38.555319,141.052927
荻埣,38.575905,141.022529
平針,38.569221,141.033569
南小牛田,38.555852,141.075914
中埣,38.580341,141.037232
木間塚,38.486142,141.142681
青生,38.537046,141.038722
大柳,38.495969,141.141208
練牛,38.506293,141.146258
和多田沼,38.524282,141.114434
二郷,38.461406,141.141550
