let,num
字,257
下,50
八,7
合,2
宮,5
中,11
掛,1
ケ,7
道,37
町,9
尻,5
山,31
根,5
ノ,30
上,39
峠,4
田,17
頭,2
高,5
平,11
熊,4
沢,38
三,5
百,3
刈,6
源,1
兵,1
衛,1
野,7
水,6
口,9
川,13
原,22
柏,2
木,8
薄,1
前,13
坂,7
侭,4
地,12
蔵,2
内,2
島,5
割,1
付,1
伏,1
杉,3
滝,2
直,1
舘,1
幡,2
名,3
神,9
向,8
大,19
清,1
一,5
里,4
塚,4
土,3
手,2
月,1
光,1
壇,2
際,2
愛,4
宕,4
十,3
郎,1
右,1
エ,1
門,1
屋,2
敷,2
豆,2
柿,2
新,9
ツ,3
森,5
豊,1
後,1
二,1
渡,3
利,2
津,3
保,4
沼,2
堀,6
谷,7
嵯,1
峨,1
畑,2
境,2
西,8
裏,2
入,2
東,7
追,3
分,3
漆,1
明,2
行,3
人,3
角,1
石,3
孫,1
足,1
寺,4
長,4
久,1
牧,1
松,3
赤,3
矢,3
立,4
程,1
油,1
猯,1
跡,2
柳,4
国,1
有,1
林,4
干,2
蒲,3
堤,3
瀬,5
枚,1
臼,1
張,1
実,1
見,2
添,2
台,2
ラ,1
ン,1
ト,1
ウ,1
雷,2
小,6
穴,2
滑,1
諏,1
訪,1
橋,3
端,2
六,1
本,1
之,2
獅,1
子,5
夏,1
梨,1
白,1
岩,1
茂,3
庭,1
通,1
窪,2
佐,1
烏,2
崎,4
仙,1
王,1
湯,1
深,1
戸,1
峯,2
倉,2
天,1
関,1
貫,1
稲,2
浦,2
横,2
館,2
駕,1
籠,1
曲,1
目,2
板,1
無,1
黒,1
若,1
蟹,2
稗,1
作,1
苗,1
代,1
桧,1
間,1
陳,1
迎,1
仕,1
切,1
竹,1
河,1
提,1
灯,1
萩,1
古,2
栗,1
鶴,1
玉,1
萱,1
老,1
