name,latitude,longitude
宮城県,多賀城市
大代,38.294393,141.032195
岩切,38.304170,140.961389
下馬,38.304809,141.015848
町前,38.283042,141.005040
伝上山,38.303456,141.010517
桜木,38.289593,141.012374
浮島,38.302833,140.995510
留ケ谷,38.301182,141.008127
高橋,38.286108,140.979153
笠神,38.302818,141.031800
八幡,38.290774,141.011946
鶴ケ谷,38.293754,141.018730
東田中,38.292102,140.995152
明月,38.284862,141.015193
中央,38.294759,141.008007
城南,38.299545,140.989564
高崎,38.293246,140.986721
栄,38.290167,141.022054
丸山,38.299298,141.020137
宮内,38.280146,141.015865
山王,38.296540,140.977018
南宮,38.304984,140.969546
新田,38.292393,140.967148
市川,38.304235,140.985538
