name,latitude,longitude
宮城県,富谷市
鷹乃杜,38.365783,140.871837
とちの木,38.386903,140.882250
明石台,38.343652,140.903116
成田,38.358086,140.893737
太子堂,38.413933,140.892235
東向陽台,38.339233,140.903096
杜乃橋,38.383596,140.870642
富ケ丘,38.368087,140.863416
日吉台,38.379868,140.866599
あけの平,38.381402,140.876249
大清水,38.367253,140.880858
ひより台,38.405039,140.884696
上桜木,38.358767,140.880679
大童,38.398258,140.913523
志戸田,38.427032,140.892743
一ノ関,38.407439,140.864244
二ノ関,38.419617,140.879708
三ノ関,38.414545,140.900308
西成田,38.381908,140.904288
穀田,38.378925,140.890421
大亀,38.365501,140.930236
今泉,38.390270,140.926258
石積,38.361478,140.918759
富谷,38.390131,140.889098
明石,38.349100,140.908960
