let,num
西,3
新,7
丁,15
東,10
南,6
石,3
切,1
八,3
軒,2
小,4
路,3
土,2
樋,1
穀,1
九,2
番,6
弓,2
ノ,3
垣,1
裏,1
柴,2
田,6
清,1
水,1
椌,1
木,4
通,1
畳,2
屋,3
七,2
表,1
舟,2
下,2
六,9
十,2
人,3
沖,1
野,1
材,1
染,1
師,1
五,2
橋,1
寺,1
元,2
茶,2
畑,1
三,2
百,1
古,1
城,2
鍛,1
冶,1
二,2
成,1
名,1
坂,1
若,1
林,1
連,2
坊,2
大,1
和,1
荒,4
浜,2
志,1
波,1
泉,2
保,2
春,2
院,2
前,2
上,1
飯,3
河,1
原,1
中,2
倉,1
の,7
目,8
卸,1
白,1
萩,1
郷,1
遠,1
見,1
塚,3
文,1
化,1
鶴,1
代,1
今,1
霞,1
か,1
す,1
み,1
北,1
一,1
本,2
杉,1
堰,1
場,1
伊,1
在,1
四,1
郎,1
丸,1
蒲,2
藤,1
日,1
辺,1
種,1
次,1
井,2
長,1
喜,1
な,2
い,1
ろ,1
里,1
町,1
