name,latitude,longitude
宮崎県,日南市
吾田東,31.614165,131.375523
吾田東十,31.615006,131.378514
油津,31.582929,131.408115
字石川,31.576891,131.398761
今,31.630314,131.359671
岩崎,31.588543,131.395543
梅ケ浜,31.588486,131.406752
板敷,31.647258,131.351302
伊比井,31.727432,131.426713
大窪,31.584278,131.280452
風田,31.621135,131.427776
上方,31.558476,131.347973
楠原,31.617216,131.344803
隈谷乙,31.580260,131.364087
隈谷甲,31.572781,131.381002
隈谷丙,31.591141,131.342358
毛吉田,31.575088,131.342719
酒谷乙,31.615946,131.300544
酒谷甲,31.660624,131.227263
下方,31.560962,131.372478
塚田乙,31.579172,131.322315
塚田甲,31.595181,131.314115
戸高,31.604001,131.374126
殿所,31.624990,131.375397
西弁分,31.595612,131.364869
萩之嶺,31.558760,131.319058
東弁分乙,31.631205,131.409922
東弁分甲,31.630681,131.394705
平野,31.581414,131.389796
平山,31.601502,131.409196
富土,31.695954,131.429561
星倉,31.617595,131.366583
益安,31.609898,131.395124
松永,31.642363,131.399696
宮浦,31.652024,131.444354
吉野方,31.646275,131.315327
大堂津,31.560879,131.378107
乙姫,31.582931,131.399983
飫肥,31.629673,131.353373
春日,31.586681,131.403238
上平野,31.598684,131.382725
北郷町大藤,31.658961,131.384427
北郷町北河内,31.726557,131.297291
北郷町郷之原,31.719620,131.377383
木山,31.590337,131.395234
材木,31.586328,131.400928
瀬貝,31.594991,131.399326
瀬西,31.584343,131.398308
園田,31.591548,131.399856
中央通,31.601632,131.379963
天福,31.584964,131.397052
時任,31.616094,131.362501
戸高,31.599861,131.377800
中平野,31.591800,131.390341
南郷町潟上,31.507076,131.329320
南郷町谷之口,31.534297,131.350183
南郷町津屋野,31.548465,131.350584
南郷町中村乙,31.531113,131.371435
南郷町贄波,31.501128,131.369868
南郷町西,31.541243,131.376291
南郷町東,31.535551,131.373499
南郷町南,31.534216,131.371565
南郷町榎原,31.543034,131.306679
南郷町脇本,31.523172,131.355984
西弁分,31.598206,131.372228
西,31.582350,131.400516
星倉,31.628204,131.361709
隈谷,31.580260,131.364087
酒谷,31.615946,131.300544
塚田,31.579172,131.322315
東弁分,31.631205,131.409922
南郷町中村,31.531113,131.371435
