let,num
安,2
賀,1
多,1
赤,1
水,3
旭,2
ケ,7
丘,4
愛,2
宕,2
山,9
天,2
下,8
粟,1
野,13
名,3
伊,4
形,3
石,2
田,11
出,3
北,38
口,3
稲,1
葉,2
崎,5
浦,7
城,2
恵,1
比,1
須,5
追,1
内,3
大,7
瀬,6
峡,2
門,1
武,1
貫,1
岡,4
富,3
元,1
沖,1
尾,1
卸,1
本,4
貝,1
の,5
畑,2
樫,1
鹿,5
小,12
路,9
春,1
日,4
片,1
構,1
上,7
三,7
輪,3
川,12
島,4
原,5
祇,1
園,2
町,32
市,1
振,1
古,3
江,3
宮,2
方,27
板,2
う,1
そ,1
越,1
笠,1
流,1
久,2
保,2
蔵,1
村,1
椎,1
菅,1
曽,1
木,5
滝,1
角,1
早,3
中,7
渡,1
平,4
藤,1
槇,1
峰,2
南,3
美,3
々,2
地,2
八,1
長,3
井,2
新,4
一,2
共,1
栄,2
櫛,1
津,1
熊,1
桑,1
神,2
戸,1
紺,1
屋,1
西,2
幸,1
桜,3
差,1
佐,2
昭,1
和,2
白,1
塩,1
浜,7
之,1
惣,1
領,1
鯛,1
高,2
千,1
穂,1
通,2
達,1
央,1
恒,1
鶴,1
東,3
海,1
土,1
呂,1
永,1
池,1
夏,1
階,1
萩,1
博,1
労,1
砂,3
別,1
府,1
二,2
ツ,2
船,1
倉,1
財,1
祝,1
子,1
細,1
見,2
舞,1
牧,1
松,2
尻,1
緑,1
妙,2
行,1
縢,1
無,1
柳,1
沢,1
月,1
柚,2
吉,1
若,1
股,1
檜,1
狩,1
宇,1
