name,latitude,longitude
長野県,諏訪市
赤羽根,36.033227,138.125211
上諏訪,36.077993,138.139276
湖南,36.010373,138.100275
四賀,36.020392,138.130934
豊田,36.021833,138.088976
中洲,36.008249,138.124325
大手,36.045071,138.115465
岡村,36.042916,138.123107
沖田,36.009701,138.133429
大和,36.060076,138.113981
上川,36.036256,138.105015
湖岸通り,36.058009,138.111045
小和田,36.039096,138.120133
渋崎,36.036116,138.100882
清水,36.038345,138.124723
城南,36.034645,138.115858
末広,36.043202,138.117946
杉菜池,36.028984,138.109883
諏訪,36.046895,138.117975
高島,36.039471,138.112593
南,36.000165,138.131081
元,36.039840,138.122955
湯の脇,36.051886,138.118173
