name,latitude,longitude
長崎県,五島市
赤島,32.595054,128.920721
池田,32.693364,128.846087
猪之木,32.812901,128.851768
江川,32.697668,128.844268
黄島,32.566401,128.899609
大荒,32.705139,128.825288
奥浦,32.738989,128.813348
小泊,32.643599,128.824066
上大津,32.673091,128.843610
上崎山,32.652782,128.861770
岐宿町川原,32.727068,128.712622
岐宿町岐宿,32.752965,128.755795
岐宿町楠原,32.730115,128.748509
岐宿町河務,32.729961,128.776463
岐宿町唐船ノ浦,32.768466,128.786338
岐宿町中嶽,32.683624,128.728732
岐宿町二本楠,32.664596,128.725355
岐宿町姫島,32.806564,128.678133
岐宿町松山,32.702414,128.725394
高田,32.676435,128.792750
木場,32.691740,128.832128
籠淵,32.706487,128.801766
紺屋,32.691084,128.847637
幸,32.694296,128.840343
栄,32.696488,128.845821
坂の上,32.688838,128.838304
下大津,32.677371,128.860701
下崎山,32.662790,128.872992
新港,32.701206,128.847567
末広,32.695428,128.842590
大円寺,32.688034,128.830151
田ノ浦,32.780505,128.848767
玉之浦町荒川,32.669782,128.693494
玉之浦町幾久山,32.642242,128.702837
玉之浦町小川,32.623852,128.675113
玉之浦町上の平,32.647173,128.721156
玉之浦町大宝,32.605872,128.654649
玉之浦町立谷,32.607674,128.636843
玉之浦町玉之浦,32.632777,128.614953
玉之浦町丹奈,32.689717,128.670311
玉之浦町頓泊,32.695443,128.655365
玉之浦町中須,32.636724,128.668494
玉之浦町布浦,32.654028,128.674167
中央,32.694729,128.844011
堤,32.670863,128.824863
戸岐,32.776820,128.801753
富江町狩立,32.609534,128.762161
富江町黒島,32.600481,128.833889
富江町黒瀬,32.600820,128.748172
富江町繁敷,32.645302,128.740080
富江町職人,32.605031,128.777800
富江町田尾,32.640232,128.757764
富江町岳,32.589523,128.773356
富江町土取,32.606251,128.785900
富江町富江,32.615207,128.767186
富江町長峰,32.615099,128.710348
富江町松尾,32.619984,128.755984
富江町山下,32.591668,128.757267
富江町山手,32.619868,128.739144
長手,32.673288,128.870453
奈留町浦,32.836933,128.937345
奈留町大串,32.864747,128.897842
奈留町泊,32.830218,128.956561
奈留町船廻,32.861286,128.952059
錦,32.692962,128.842409
野々切,32.651129,128.834272
浜,32.652410,128.812264
東浜,32.694354,128.848638
久賀,32.786476,128.873265
平蔵,32.732151,128.836283
福江,32.698602,128.846935
武家屋敷,32.691786,128.844422
増田,32.667742,128.779041
松山,32.705190,128.838608
三井楽町丑ノ浦,32.754771,128.652716
三井楽町大川,32.765747,128.684279
三井楽町貝津,32.718402,128.657606
三井楽町柏,32.778504,128.664703
三井楽町嵯峨島,32.725710,128.595755
三井楽町塩水,32.760444,128.651897
三井楽町高崎,32.772342,128.678383
三井楽町嶽,32.766382,128.666676
三井楽町波砂間,32.747734,128.655470
三井楽町濱窄,32.736556,128.654698
三井楽町濱ノ畔,32.740755,128.677119
三井楽町渕ノ元,32.769688,128.651695
三尾野,32.692126,128.839250
三尾野,32.681940,128.831973
向,32.648095,128.884254
本窯,32.770601,128.998834
吉久木,32.693403,128.822581
吉田,32.688573,128.784960
蕨,32.821024,128.884707
伊福貴,32.751210,128.975920
岐宿町戸岐ノ首,32.752337,128.790750
