let,num
赤,1
松,1
明,1
の,6
川,9
内,4
鮎,1
飯,1
良,3
生,7
月,8
町,26
壱,2
部,2
浦,4
里,2
免,22
舘,1
御,1
崎,5
南,1
山,9
田,29
石,3
堂,1
猪,1
渡,1
谷,1
岩,1
上,4
魚,1
棚,1
大,16
脇,1
原,2
久,3
保,3
佐,2
志,3
々,2
伎,2
島,8
村,6
的,2
戸,3
根,2
坂,1
西,2
宇,1
前,2
平,20
野,5
小,3
鏡,1
春,1
日,1
神,4
中,7
津,5
木,5
ヶ,1
引,2
草,1
積,1
ノ,1
紺,1
屋,1
場,1
方,2
敷,1
獅,2
子,3
船,2
下,4
主,1
師,1
職,1
人,1
新,1
高,1
越,1
度,1
代,3
助,1
一,1
関,1
以,1
善,1
荻,1
亀,3
寺,2
岳,1
深,2
福,2
古,2
梶,1
本,1
横,1
築,1
地,1
辻,1
堤,1
吉,2
早,1
東,1
紐,2
差,2
無,1
朶,1
坊,1
宝,1
水,1
垂,1
宮,1
迎,1
手,1
江,1
