let,num
芦,37
辺,37
町,111
浦,45
国,4
分,4
川,1
迎,1
触,100
当,1
田,27
東,17
本,40
村,11
住,4
吉,11
後,1
前,1
山,7
信,1
瀬,1
戸,2
中,6
野,4
郷,42
仲,7
西,12
箱,7
崎,8
江,8
角,1
釘,2
ノ,39
尾,1
大,6
左,1
右,1
谷,2
諸,7
津,1
深,6
栄,1
鶴,1
亀,1
平,2
南,7
石,23
二,1
亦,1
湯,6
岳,5
興,2
今,1
坂,2
池,3
印,1
通,1
寺,1
久,2
喜,1
筒,3
城,6
妻,1
ケ,1
島,4
射,1
手,1
勝,23
上,1
場,1
保,1
片,2
北,1
新,3
立,4
布,1
気,1
宮,4
百,1
合,1
畑,1
有,1
安,1
牛,1
方,1
原,5
木,1
小,2
牧,2
里,1
志,2
庄,1
坪,1
長,3
永,1
峰,2
初,2
半,1
人,1
麦,1
物,1
部,1
柳,1
若,1
松,1
渡,4
良,4
