let,num
生,12
川,86
山,99
赤,11
の,42
浦,152
場,41
木,69
屋,19
家,17
野,67
島,99
飯,20
下,45
宿,17
石,58
神,42
出,11
道,13
佐,33
田,158
今,11
多,28
良,40
船,23
岩,11
瀬,58
見,55
上,93
馬,44
崎,53
江,81
戸,60
美,25
須,14
平,63
里,33
大,116
井,54
手,16
東,50
園,13
尾,50
谷,18
浜,37
宮,20
日,12
勝,27
鹿,19
黒,27
小,95
西,100
ノ,70
口,27
内,41
原,114
北,27
琴,12
海,23
根,16
村,30
松,30
台,16
中,70
福,29
古,25
国,29
峰,21
栄,12
坂,23
本,81
三,46
和,12
水,14
城,23
白,17
新,36
吉,42
高,54
久,41
保,16
立,18
玉,33
千,15
々,25
来,32
寺,19
天,14
土,17
長,28
南,37
越,15
津,75
八,15
岳,24
深,18
富,20
豊,22
元,13
代,18
有,46
宇,16
町,687
方,11
迎,26
志,16
世,15
辺,40
串,11
知,16
郷,232
名,16
岐,14
県,15
乙,18
明,14
甲,18
丁,18
丙,14
湯,13
盛,14
免,64
厳,35
対,20
芦,39
触,100
妻,14
之,19
楽,12
彼,17
吾,13
瑞,15
穂,15
