name,latitude,longitude
長崎県,西海市
大島,33.044388,129.608218
大瀬戸町瀬戸下山郷,32.961188,129.686689
大瀬戸町瀬戸西濱郷,32.944063,129.660805
大瀬戸町瀬戸羽出川郷,32.948316,129.686296
大瀬戸町瀬戸東濱郷,32.932887,129.662226
大瀬戸町瀬戸福島郷,32.928511,129.637963
大瀬戸町多以良内郷,32.969614,129.666956
大瀬戸町多以良外郷,32.972117,129.633796
大瀬戸町松島内郷,32.938854,129.599104
大瀬戸町松島外郷,32.926155,129.611112
大瀬戸町雪浦奥浦郷,32.939734,129.693879
大瀬戸町雪浦上郷,32.926145,129.677681
大瀬戸町雪浦久良木郷,32.926103,129.720316
大瀬戸町雪浦河通郷,32.921870,129.694511
大瀬戸町雪浦幸物郷,32.947571,129.720074
大瀬戸町雪浦小松郷,32.905714,129.682683
大瀬戸町雪浦下郷,32.914160,129.664844
大瀬戸町雪浦下釜郷,32.923843,129.660012
西海町天久保郷,33.071088,129.679792
西海町太田原郷,33.038552,129.717359
西海町太田和郷,33.043443,129.677855
西海町面高郷,33.083008,129.681867
西海町川内郷,33.051771,129.713094
西海町黒口郷,33.058218,129.677525
西海町木場郷,33.043090,129.702907
西海町丹納郷,33.061288,129.705313
西海町中浦北郷,33.027763,129.664710
西海町中浦南郷,33.011316,129.675420
西海町七釜郷,32.991174,129.679102
西海町水浦郷,33.055658,129.732699
西海町横瀬郷,33.076195,129.705396
崎戸町江島,33.009330,129.352144
崎戸町蠣浦郷,33.019320,129.579036
崎戸町平島,33.006305,129.241616
崎戸町本郷,33.006424,129.561268
西彼町伊ノ浦郷,33.054300,129.745361
西彼町大串郷,33.007431,129.717275
西彼町風早郷,32.978243,129.812204
西彼町上岳郷,32.982912,129.785525
西彼町亀浦郷,32.996112,129.805201
西彼町小迎郷,33.045258,129.746265
西彼町喰場郷,32.974943,129.761344
西彼町下岳郷,33.000719,129.772833
西彼町白似田郷,32.971539,129.796848
西彼町白崎郷,33.011771,129.766111
西彼町鳥加郷,32.974049,129.733247
西彼町中山郷,32.992081,129.793937
西彼町平原郷,32.964080,129.771688
西彼町平山郷,32.990314,129.718543
西彼町宮浦郷,33.006395,129.794521
西彼町八木原郷,33.029086,129.731620
大瀬戸町瀬戸板浦郷,32.946446,129.642136
大瀬戸町瀬戸樫浦郷,32.942469,129.650353
