name,latitude,longitude
長崎県,北松浦郡佐々町
石木場免,33.249739,129.662427
市瀬免,33.262064,129.655708
市場免,33.233646,129.645871
江里免,33.271440,129.651053
大茂免,33.263395,129.638221
沖田免,33.228773,129.642002
皆瀬免,33.255982,129.673841
鴨川免,33.254752,129.649936
口石免,33.222734,129.663386
栗林免,33.245178,129.660003
神田免,33.257010,129.667049
小浦免,33.216172,129.649939
木場免,33.234805,129.672370
志方免,33.244825,129.632016
須崎免,33.227067,129.648858
角山免,33.246787,129.666984
中川原免,33.249446,129.657674
野寄免,33.242140,129.660880
羽須和免,33.234568,129.652064
平野免,33.237043,129.662181
古川免,33.244680,129.645392
本田原免,33.240185,129.651096
松瀬免,33.266797,129.667027
迎木場免,33.229834,129.682994
八口免,33.253728,129.682617
