let,num
石,2
川,4
原,2
田,8
今,1
井,2
忌,1
部,2
雲,1
梯,1
畝,1
傍,1
栄,1
和,2
小,3
房,1
槻,1
大,4
垣,2
軽,1
久,2
保,1
谷,1
太,1
市,2
戒,1
外,1
膳,2
夫,1
一,1
上,2
飛,2
騨,2
西,3
観,1
音,1
寺,7
北,3
越,1
智,1
妙,2
法,3
八,4
木,5
城,2
殿,2
之,2
本,3
葛,1
米,1
五,2
光,1
陽,1
条,2
野,1
御,1
坊,3
地,1
黄,1
四,2
分,1
慈,1
明,1
下,1
釣,1
綱,1
菖,1
蒲,1
品,1
白,1
橿,1
新,4
賀,1
堂,2
曽,2
我,1
醍,1
醐,1
高,2
中,3
土,1
橋,1
出,2
合,1
内,2
十,1
常,1
盤,1
豊,1
鳥,1
屋,1
司,1
縄,1
手,1
池,2
尻,2
口,1
東,3
竹,1
飯,1
兵,1
古,1
別,1
所,1
花,1
曲,1
見,1
瀬,1
南,4
浦,1
山,3
吉,1
