let,num
朝,1
日,2
池,2
沢,1
之,1
内,4
石,1
川,2
泉,3
原,2
櫟,1
枝,1
伊,1
豆,2
七,1
条,5
井,5
戸,1
野,4
藺,1
今,2
国,1
府,1
植,1
槻,2
魚,1
永,1
慶,1
寺,7
大,4
江,1
宮,2
柏,1
木,4
上,1
三,2
橋,2
冠,1
山,6
観,2
音,2
北,6
鍛,3
冶,3
郡,2
工,2
西,7
九,2
平,1
車,1
小,3
林,1
南,7
紺,2
屋,2
材,1
堺,1
雑,1
穀,1
塩,1
椎,1
下,1
城,7
昭,1
和,1
白,1
土,1
の,1
台,1
見,1
新,5
庄,4
中,6
杉,1
千,1
代,1
官,1
高,2
田,14
口,3
丹,1
後,1
茶,1
長,1
安,1
筒,1
天,2
理,1
洞,1
腐,1
外,1
豊,1
浦,1
奈,3
良,3
岡,2
垣,2
額,3
部,3
八,1
発,1
志,1
院,1
番,2
匠,1
稗,1
東,2
藤,1
本,2
馬,1
司,1
満,1
願,1
美,1
濃,1
箕,1
堂,1
矢,3
町,1
通,1
柳,2
横,1
若,1
綿,1
