name,latitude,longitude
新潟県,柏崎市
青山,37.430963,138.600198
赤坂,37.359467,138.537732
朝日が丘,37.352438,138.574362
荒浜,37.403549,138.583441
安政,37.385615,138.565233
茨目,37.362091,138.579774
岩上,37.360577,138.571599
駅前,37.364453,138.554927
扇,37.366579,138.569841
上輪,37.320546,138.454142
上輪新田,37.325864,138.459813
畔屋,37.371200,138.625236
飯塚,37.409649,138.638717
五十土,37.407506,138.686795
石曽根,37.265587,138.618724
市野新田,37.250078,138.526838
茨目,37.355988,138.585240
芋川,37.305429,138.594861
青海川,37.341233,138.486468
大河内新田,37.330135,138.541496
大沢,37.249711,138.657980
大清水,37.299584,138.423126
大平,37.297506,138.463626
大広田,37.352873,138.679449
大湊,37.442175,138.606533
女谷,37.239566,138.539903
折居,37.221840,138.555731
貝渕,37.321254,138.558621
笠島,37.330649,138.474832
加納,37.317809,138.613132
上田尻,37.354374,138.598100
木沢,37.267562,138.548757
北条,37.341778,138.637900
旧広田,37.351518,138.668009
鯨波,37.321712,138.525999
黒滝,37.312322,138.553261
久米,37.286460,138.596612
劔野,37.346015,138.551856
小黒須,37.416127,138.675211
小島,37.356457,138.642501
小杉,37.315649,138.484800
小田山新田,37.308468,138.599362
佐藤池新田,37.349776,138.589397
佐水,37.293526,138.576227
椎谷,37.475709,138.623821
清水谷,37.240553,138.589833
下大新田,37.393450,138.618950
下方,37.345484,138.557249
下田尻,37.361655,138.600869
上条,37.313819,138.581202
善根,37.304637,138.641000
曽地,37.400964,138.662572
曽地新田,37.403115,138.623294
高畔,37.304065,138.448632
田塚,37.369860,138.588002
谷川新田,37.242906,138.580193
田屋,37.284203,138.547183
谷根,37.302405,138.512754
劔,37.387822,138.606055
土合,37.393644,138.600434
土合新田,37.391755,138.610743
東条,37.341775,138.661414
長崎,37.399069,138.601137
長崎新田,37.398737,138.612791
中田,37.376227,138.611007
成沢,37.403880,138.679206
西長鳥,37.367292,138.674621
南下,37.320562,138.584394
野田,37.270034,138.565230
橋場,37.378769,138.593062
花田,37.407012,138.630984
半田,37.349063,138.580174
東長鳥,37.383015,138.697032
平井,37.357732,138.621384
枇杷島,37.341949,138.538835
古,37.307752,138.575504
細越,37.281450,138.577257
堀,37.330747,138.582825
本条,37.327846,138.652076
水上,37.266427,138.590399
南条,37.325083,138.637816
宮川,37.457229,138.621653
宮川新田,37.259043,138.570265
宮平,37.289447,138.619156
宮之窪,37.304374,138.563748
森近,37.281468,138.638675
安田,37.338639,138.612035
矢田,37.384070,138.635504
山口,37.292718,138.562338
山澗,37.368576,138.647148
山室,37.265873,138.646750
与板,37.299959,138.620338
吉井,37.392206,138.651573
吉井黒川,37.387047,138.670218
吉尾,37.303161,138.483031
与三,37.383635,138.620167
両田尻,37.362387,138.590880
蕨野,37.307782,138.465156
大久保,37.364107,138.548656
小倉,37.372811,138.563966
鏡,37.366819,138.558782
春日,37.379290,138.569725
学校,37.373579,138.554396
北園,37.380097,138.560392
北半田,37.364591,138.573229
希望が丘,37.351855,138.570887
鯨波,37.357454,138.523483
剣野,37.350893,138.549411
小金,37.385437,138.582008
寿,37.359849,138.533742
幸,37.362458,138.558908
栄田,37.384869,138.590431
栄,37.376754,138.556030
桜木,37.381151,138.567160
三和,37.365785,138.579332
城塚,37.357979,138.582348
城東,37.352486,138.556282
新赤坂,37.355971,138.534546
新橋,37.364634,138.551743
新花,37.376119,138.561678
諏訪,37.373521,138.561228
関,37.359037,138.553687
高柳町石黒,37.191986,138.570628
高柳町漆島,37.207098,138.627343
高柳町岡田,37.239381,138.634591
高柳町岡野,37.225124,138.636167
高柳町荻ノ島,37.198120,138.622469
高柳町門出,37.189311,138.613582
高柳町高尾,37.216683,138.610440
高柳町田代,37.168288,138.614123
高柳町栃ケ原,37.189693,138.645463
高柳町山中,37.212908,138.660319
宝田,37.379103,138.589315
宝,37.362749,138.564945
田塚,37.368172,138.583845
田中,37.358699,138.565061
中央,37.372832,138.559034
天神,37.359111,138.528545
東の輪,37.360651,138.522682
常盤台,37.357400,138.548291
豊田,37.385011,138.586305
中浜,37.366385,138.542395
長峰,37.350058,138.568884
南光,37.357002,138.560556
錦,37.367321,138.562339
西本,37.368916,138.551686
西港,37.370823,138.547214
西山町池浦,37.460696,138.670254
西山町石地,37.514359,138.666205
西山町五日市,37.438299,138.639218
西山町伊毛,37.473414,138.668438
西山町後谷,37.464729,138.632986
西山町内方,37.433966,138.645504
西山町大崎,37.494556,138.654546
西山町大津,37.498800,138.666259
西山町大坪,37.423613,138.657953
西山町鬼王,37.455080,138.657993
西山町尾野内,37.475720,138.687840
西山町尾,37.509804,138.664026
西山町鎌田,37.470298,138.645088
西山町上山田,37.480591,138.678875
西山町北野,37.434969,138.651647
西山町黒部,37.451905,138.649839
西山町甲田,37.490813,138.648768
西山町坂田,37.444888,138.673915
西山町下山田,37.466560,138.667215
