name,latitude,longitude
新潟県,長岡市
青木,37.41199,138.855164
青島,37.399861,138.816837
青葉台,37.446789,138.74945
青山新,37.412048,138.829869
青山,37.409156,138.82738
赤谷,37.43767,139.014303
赤沼,37.589857,138.868911
明戸,37.501788,139.003657
曙,37.425562,138.848994
朝日,37.394454,138.768927
旭,37.442396,138.851341
東,37.476425,138.996774
麻生田,37.459478,138.909488
愛宕,37.457351,138.86067
雨池,37.468559,138.815822
天下島,37.462711,138.999525
阿弥陀瀬,37.542906,138.782629
荒巻,37.567741,138.787255
新,37.460575,138.855825
飯島,37.423557,138.809851
飯島善兵エ古新田,37.423395,138.81498
飯塚,37.385744,138.756996
池之島,37.508308,138.876268
石内,37.461604,138.85321
泉,37.463856,138.853713
石動,37.448429,138.794417
石動南,37.442959,138.790936
一之貝,37.436603,138.958291
一之渡戸,37.48846,138.987571
稲島,37.562303,138.859023
稲保,37.480582,138.872323
今井,37.424173,138.827302
今井,37.428169,138.830618
入塩川,37.464237,139.046176
岩田,37.378165,138.733784
岩野,37.371124,138.810623
上田,37.449696,138.844305
上の原,37.468742,138.997046
梅野俣,37.512015,139.073312
浦,37.3924,138.802331
浦瀬,37.468245,138.910385
瓜生,37.510789,138.803836
上沼新田,37.57632,138.850681
海老島勇次新田,37.553947,138.828949
王番田,37.46554,138.789339
日越,37.43944,138.781346
大荒戸,37.48168,138.801342
大川戸,37.453647,139.016813
大川原,37.368733,138.82322
大口,37.520745,138.866958
大島新,37.445141,138.827134
大島本,37.442872,138.826495
大島,37.441263,138.826812
大積折渡,37.432037,138.703833
大積熊上,37.426149,138.711315
大積千本,37.408281,138.714582
大積善間,37.442389,138.722886
大積高鳥,37.395366,138.714857
大積田代,37.410772,138.706835
大積灰下,37.404173,138.724376
大積,37.429921,138.732711
大積三島谷,37.450869,138.707868
大手通,37.446869,138.852007
大沼新田,37.607211,138.876617
大野,37.499395,138.798487
大曲戸,37.513574,138.882869
大,37.427978,138.857655
大宮,37.428231,138.827301
大山,37.440855,138.820512
岡村,37.44896,138.831414
沖田,37.44428,138.865904
荻野,37.471957,138.835778
荻野,37.468022,138.839942
小国町相野原,37.29084,138.683268
小国町新,37.290514,138.712512
小国町大貝,37.236674,138.693104
小国町小国沢,37.276072,138.724749
小国町上岩田,37.283488,138.708124
小国町上新田,37.329208,138.716213
小国町上谷内新田,37.29506,138.710938
小国町桐沢,37.303345,138.734386
小国町小栗山,37.276236,138.683662
小国町苔野島,37.248938,138.701074
小国町下新田,37.332884,138.718759
小国町諏訪井,37.247507,138.723004
小国町武石,37.326774,138.689485
小国町太郎丸,37.270849,138.712482
小国町千谷沢,37.328445,138.73702
小国町七日,37.317765,138.726245
小国町楢沢,37.284033,138.735594
小国町二本柳,37.299259,138.703294
小国町八王子,37.293556,138.658868
小国町原,37.258626,138.697637
小国町法坂,37.296833,138.72022
小国町法末,37.263987,138.737509
小国町三桶,37.243293,138.713661
小国町森光,37.265886,138.685841
小国町山野田,37.247841,138.679971
小国町横沢,37.309734,138.69271
押切川原,37.506117,138.885174
押切新田,37.509035,138.883115
小島谷,37.560895,138.769128
乙吉,37.445817,138.91447399999998
