let,num
日,35
野,136
石,21
内,55
島,134
見,19
浦,26
木,50
ノ,59
入,12
大,133
保,27
瀬,18
柳,33
太,11
田,276
月,11
岡,39
新,228
上,118
土,14
地,19
亀,23
堀,64
神,18
谷,68
山,201
川,108
西,134
崎,31
塚,21
小,97
飯,14
三,55
屋,57
下,101
早,15
通,172
十,38
二,44
前,57
白,19
富,11
須,11
戸,35
子,14
高,51
森,11
浜,30
代,18
東,123
栄,23
鳥,12
長,38
場,33
所,14
井,37
郷,15
南,52
平,31
北,41
松,40
潟,42
本,56
美,12
ツ,18
原,43
村,12
横,25
越,22
葉,13
江,17
口,35
海,11
ケ,30
王,15
中,127
渡,12
金,28
台,16
竹,19
明,17
尾,37
池,14
津,29
寺,128
興,20
根,41
一,42
藤,17
船,14
古,38
湊,15
和,24
丘,15
の,12
赤,15
坂,20
町,150
番,115
橋,16
四,28
五,34
六,15
が,12
七,20
八,17
道,18
畑,15
門,13
蔵,21
光,12
水,22
吉,29
関,33
出,12
天,16
花,12
之,29
方,11
千,15
曽,26
城,12
沢,66
善,12
倉,12
宮,34
塩,12
条,24
滝,11
福,15
巻,14
真,11
青,12
板,22
貝,16
黒,12
岩,14
国,29
荒,12
泊,87
栃,18
与,19
