let,num
赤,3
橋,3
荒,3
川,10
新,15
屋,3
敷,3
池,1
ノ,5
端,1
石,3
喜,1
五,1
十,1
公,1
野,10
板,3
山,17
稲,2
荷,4
岡,9
丑,1
首,1
浦,4
田,21
江,4
口,5
大,9
崎,2
沢,7
槻,1
手,1
友,2
中,27
島,11
小,15
国,1
谷,8
奥,1
保,4
押,1
廻,2
戸,3
乙,1
次,1
見,1
貝,3
塚,8
加,1
治,1
万,3
代,4
片,1
桐,1
金,5
津,3
釜,1
杭,1
上,15
今,2
泉,3
楠,2
松,3
三,4
光,3
寺,5
内,8
館,3
竹,4
羽,2
尻,1
北,3
蓑,2
切,1
梅,1
熊,1
出,2
蔵,1
黒,1
岩,2
桑,1
高,4
坂,2
古,5
湖,1
南,3
舟,4
渡,2
境,1
佐,1
々,2
木,3
繁,1
潟,1
下,22
飯,3
城,2
関,3
西,7
栄,2
富,4
路,2
菅,1
砂,1
住,3
吉,5
諏,1
訪,1
井,1
妻,2
草,1
相,1
馬,1
曽,3
根,3
伝,1
滝,3
ヶ,1
花,1
俣,1
太,2
斎,1
央,1
長,3
者,1
月,2
温,1
敦,1
賀,2
尾,1
天,1
王,1
道,2
東,5
港,1
虎,1
丸,2
鳥,1
穴,1
倉,2
俵,1
畑,1
園,1
名,1
柄,1
姫,2
二,3
本,4
箱,1
早,1
場,1
目,3
宮,4
人,1
平,1
日,3
福,2
藤,2
掛,1
浜,1
ツ,3
堂,1
入,2
麓,1
楯,2
法,1
正,1
間,1
真,4
原,2
外,1
市,2
弓,1
越,1
瑞,1
波,1
溝,1
足,1
椡,1
緑,1
成,1
御,1
幸,1
茗,1
六,1
向,1
条,1
元,1
郷,1
八,2
幡,2
豊,1
横,2
米,2
子,1
則,2
清,2
乗,1
興,1
