name,latitude,longitude
大分県,別府市
青山,33.277952,131.491743
赤松,33.256039,131.512623
秋葉,33.275572,131.501008
朝日ケ丘,33.306963,131.471208
朝見,33.269988,131.499368
天間,33.337230,131.405025
石垣東,33.305495,131.497202
井田,33.316836,131.478774
内竈,33.334040,131.479644
浦田,33.268517,131.504081
駅前,33.279538,131.500464
駅前本,33.280771,131.502094
枝郷,33.248810,131.464700
扇山,33.296573,131.467195
内成,33.237492,131.484456
北鉄輪,33.319953,131.477106
北石垣,33.312307,131.490543
鶴見,33.299999,131.477378
浜脇,33.259439,131.490216
東山,33.253740,131.437625
別府,33.264515,131.471657
南立石,33.282738,131.450898
小倉,33.308313,131.460841
小坂,33.347714,131.483692
大所,33.348683,131.465057
乙原,33.275306,131.481451
大畑,33.303006,131.473848
上田の湯,33.278144,131.495765
上野口,33.287029,131.491198
上原,33.278966,131.485147
上平田,33.315661,131.489584
亀川四の湯,33.320781,131.491872
亀川中央,33.325629,131.492922
亀川浜田,33.331455,131.492663
亀川東,33.324331,131.497399
観海寺,33.280833,131.474771
城島,33.259362,131.426170
北中,33.312059,131.479681
北浜,33.278669,131.504869
北的ケ浜,33.284491,131.503815
京,33.287301,131.503383
楠,33.275924,131.505680
国立,33.331457,131.487567
河内,33.266589,131.506279
古賀原,33.246079,131.494844
幸,33.286465,131.497663
桜ケ丘,33.311373,131.489428
汐見,33.304808,131.502047
実相寺,33.304871,131.482251
上人ケ浜,33.315231,131.500839
上人仲,33.314605,131.495482
上人本,33.314745,131.498286
上人南,33.311224,131.496459
照波園,33.318526,131.496544
新別府,33.307461,131.483217
新港,33.298201,131.501810
末広,33.273905,131.501454
スパランド豊海,33.339509,131.486683
関の江新,33.343792,131.488175
荘園,33.293467,131.478732
荘園北,33.295370,131.481565
大観山,33.316185,131.486129
竹の内,33.303912,131.465473
立田,33.272000,131.502063
田の口,33.264740,131.501884
田の湯,33.278292,131.498469
中央,33.276923,131.500962
千代,33.274190,131.504912
鶴見,33.303251,131.439949
鶴見園,33.286299,131.478017
天満,33.286571,131.494674
鳥越,33.257149,131.504332
中島,33.275476,131.491977
中須賀東,33.308457,131.499045
中須賀本,33.308486,131.494034
中須賀元,33.309397,131.490517
西野口,33.282390,131.495204
野口中,33.282377,131.498163
野口原,33.284962,131.486779
野口元,33.282536,131.500476
馬場,33.305989,131.476761
浜,33.272904,131.508262
浜脇,33.269186,131.509805
原,33.275556,131.487775
春木,33.306910,131.489453
東荘園,33.294761,131.486154
光,33.274086,131.497091
平田,33.320582,131.496019
富士見,33.286623,131.499990
船小路,33.301304,131.501560
古市,33.338223,131.495005
風呂本,33.315604,131.477200
火売,33.311085,131.470963
堀田,33.288741,131.460292
松原,33.272022,131.506438
緑丘,33.296794,131.489413
南須賀,33.302038,131.490279
南荘園,33.289192,131.480083
南,33.271918,131.504632
南的ケ浜,33.283183,131.504099
御幸,33.316789,131.471223
明礬,33.317849,131.451843
餅ヶ浜,33.293782,131.502270
元,33.277316,131.505543
柳,33.258705,131.492865
山家,33.265326,131.511795
山の口,33.243157,131.432574
山の手,33.281370,131.485229
弓ケ浜,33.285734,131.502903
湯山,33.325762,131.458834
両郡橋,33.263950,131.516600
若草,33.290395,131.502528
