let,num
字,19
小,6
祝,2
牛,2
神,3
蛭,1
子,1
相,1
原,6
伊,1
藤,2
田,17
今,2
津,1
植,1
野,9
合,2
馬,33
大,24
貞,1
新,2
塚,1
蛎,1
瀬,2
加,1
来,1
金,2
手,1
上,5
池,2
永,5
如,1
水,3
宮,5
北,1
是,1
則,1
島,6
下,5
全,1
徳,1
悟,1
法,1
高,1
尻,2
崎,1
角,1
木,6
添,1
中,6
殿,2
鍋,1
依,1
東,4
浜,1
一,1
ツ,1
松,1
福,2
万,1
夫,1
湯,1
屋,5
沖,1
代,1
三,15
光,14
諌,1
山,15
臼,1
袋,1
深,3
秣,3
佐,1
知,1
口,3
土,2
成,1
恒,1
西,3
森,1
本,16
央,1
天,1
豊,1
耶,32
渓,13
町,41
跡,1
行,1
落,1
折,1
元,1
冠,2
石,2
形,3
曽,2
多,2
志,2
谷,2
樋,2
丸,2
溪,18
友,1
柿,1
坂,1
吉,2
川,2
栃,1
戸,1
畑,1
路,1
平,2
尾,2
母,1
園,1
移,1
国,10
宇,1
草,1
槻,1
長,1
摩,1
守,1
実,1
赤,1
迫,1
犬,1
定,1
留,1
諸,1
