name,latitude,longitude
大分県,竹田市
会々,32.976508,131.383115
穴井迫,32.947429,131.353048
市用,32.968640,131.343717
今,32.963687,131.284116
岩瀬,32.958871,131.342826
岩本,32.924943,131.354309
植木,33.002885,131.372042
枝,33.001504,131.387782
太田,32.920837,131.386740
小川,33.012282,131.306962
小塚,32.960732,131.255314
片ケ瀬,32.960338,131.409120
上坂田,32.990076,131.315864
上畑,32.981076,131.293129
刈小野,32.989564,131.290615
川床,32.963487,131.314748
城原,33.004331,131.333664
君ケ園,32.947068,131.362545
九重野,32.871167,131.303708
久保,32.979386,131.269306
倉木,32.889323,131.386090
神原,32.868488,131.364050
志土知,32.973399,131.317103
下坂田,32.988576,131.329681
下志土知,32.973949,131.336123
菅生,32.953256,131.286761
炭竈,32.984798,131.310119
田井,32.909808,131.373721
高伏,33.009013,131.352956
竹田,32.964492,131.395920
竹田,32.968281,131.392868
玉来,32.953359,131.378761
次倉,32.904562,131.343063
戸上,32.952816,131.311385
中,33.008523,131.398140
中角,32.883237,131.340986
入田,32.943235,131.398714
拝田原,32.958863,131.372181
挟田,32.984427,131.409523
飛田川,32.966281,131.376663
平田,32.982435,131.362199
福原,33.006386,131.321204
古園,32.999491,131.306600
三宅,32.993787,131.409580
向山田,32.956026,131.329595
門田,32.925013,131.371331
吉田,32.942621,131.378196
米納,32.985091,131.343759
渡瀬,32.942753,131.339298
荻町瓜作,32.908759,131.306276
荻町恵良原,32.923976,131.314173
荻町大平,32.892807,131.265758
荻町柏原,32.902473,131.290854
荻町叶野,32.905010,131.266987
荻町北原,32.916078,131.304891
荻町木下,32.937102,131.254270
荻町桑木,32.916398,131.263862
荻町西福寺,32.911300,131.315880
荻町鴫田,32.913621,131.330698
荻町新藤,32.939506,131.296838
荻町高城,32.932264,131.320587
荻町高練木,32.913885,131.285812
荻町田代,32.900681,131.312827
荻町馬場,32.928362,131.292126
荻町陽目,32.888110,131.275534
荻町藤渡,32.927808,131.273481
荻町仏面,32.899369,131.276129
荻町馬背野,32.929588,131.336589
荻町政所,32.942931,131.280592
荻町南河内,32.942028,131.318644
荻町宮平,32.899472,131.301178
久住町大字有氏,33.085928,131.295864
久住町大字栢木,33.040835,131.329677
久住町大字久住,33.055795,131.252319
久住町大字白丹,33.031178,131.238451
久住町大字添ケ津留,32.988790,131.252936
久住町大字仏原,33.071062,131.343943
直入町大字上田北,33.119071,131.387431
直入町大字神堤,33.054330,131.395882
直入町大字下田北,33.125587,131.412951
直入町大字長湯,33.074468,131.375139
