let,num
青,2
江,11
浅,1
原,5
阿,6
知,4
天,2
城,5
台,2
有,2
生,6
坂,3
五,1
日,7
市,3
稲,1
荷,1
石,2
見,2
潮,1
通,6
浦,7
田,30
老,1
松,5
大,3
内,1
島,92
畠,1
沖,4
新,11
尾,5
帯,2
高,4
加,2
須,2
山,6
片,1
上,9
富,4
井,9
亀,5
川,7
入,1
西,18
神,2
北,7
畝,4
浜,4
木,1
串,1
倉,3
敷,2
ハ,1
イ,1
ツ,1
栗,1
黒,4
崎,10
児,23
赤,1
味,5
野,6
津,6
宇,1
駅,2
前,3
小,2
の,4
唐,2
琴,2
塩,1
下,6
白,2
口,2
稗,1
元,1
柳,2
由,1
寿,3
菰,1
池,1
幸,3
酒,1
笹,1
四,1
十,1
瀬,1
庄,4
之,2
吹,1
東,12
祐,1
安,2
曽,1
賀,2
ノ,4
玉,18
成,1
柏,2
陶,1
中,10
央,3
爪,1
長,1
服,2
部,3
道,2
越,1
八,3
勇,1
茶,3
屋,4
町,30
早,2
粒,4
団,2
地,3
連,8
鶴,3
矢,2
柄,1
形,1
徳,1
芳,1
鳥,3
羽,2
岡,3
楽,1
王,1
寺,1
軒,1
林,1
塚,2
出,1
畑,1
吉,2
平,1
広,2
福,11
古,1
南,9
藤,3
戸,3
二,4
子,1
船,5
穂,6
水,32
堀,1
本,1
真,11
備,11
場,1
万,2
辺,1
妹,1
辻,1
箭,1
相,1
葉,1
海,1
岸,1
春,2
瑞,2
緑,2
砂,1
栄,2
千,2
常,2
盤,2
弥,2
明,1
三,1
宮,1
美,1
和,2
向,1
呼,2
乙,1
昭,1
