name,latitude,longitude
岡山県,瀬戸内市
牛窓町牛窓,34.628302,134.159125
牛窓町鹿忍,34.614290,134.133803
牛窓町千手,34.613346,134.116156
牛窓町長浜,34.642269,134.135238
邑久町大窪,34.657395,134.083624
邑久町大富,34.661984,134.072143
邑久町尾張,34.661459,134.103182
邑久町上笠加,34.687685,134.103003
邑久町上山田,34.636969,134.113811
邑久町北池,34.681092,134.110318
邑久町北島,34.652424,134.070378
邑久町下笠加,34.680527,134.096922
邑久町下山田,34.649346,134.109057
邑久町庄田,34.672343,134.161226
邑久町尻海,34.659801,134.160827
邑久町宗三,34.666961,134.078814
邑久町豊原,34.648710,134.094493
邑久町豊安,34.657625,134.094649
邑久町東谷,34.641244,134.077845
邑久町福谷,34.674995,134.186506
邑久町福中,34.672213,134.072646
邑久町福元,34.675907,134.084852
邑久町福山,34.664894,134.061674
邑久町本庄,34.656171,134.120941
邑久町豆田,34.686063,134.083391
邑久町箕輪,34.686501,134.090847
邑久町向山,34.658056,134.065749
邑久町百田,34.665632,134.084498
邑久町山田庄,34.671354,134.096743
邑久町山手,34.670774,134.112357
長船町飯井,34.696551,134.147048
長船町磯上,34.711375,134.143141
長船町牛文,34.692603,134.130747
長船町長船,34.720860,134.104339
長船町西須恵,34.675359,134.132577
長船町土師,34.692972,134.111663
長船町服部,34.707395,134.106862
長船町東須恵,34.682733,134.151639
長船町福岡,34.702590,134.092225
長船町福里,34.701937,134.121453
長船町八日市,34.712356,134.095784
邑久町虫明,34.693723,134.213652
