name,latitude,longitude
沖縄県,石垣市
南ぬ浜,24.330858,124.145010
美崎,24.339368,124.155463
字白保,24.399176,124.235469
字大浜,24.387380,124.209288
字平得,24.381549,124.186131
字真栄里,24.383537,124.198054
字登野城,24.378062,124.178186
字桃里,24.449676,124.245393
字新川,24.364752,124.128604
字野底,24.494591,124.239561
字崎枝,24.435726,124.100090
字宮良,24.394323,124.222372
字名蔵,24.407606,124.156114
字川平,24.455191,124.128743
字伊原間,24.513841,124.285419
字平久保,24.578763,124.319535
八島,24.335069,124.158257
字盛山,24.389859,124.240754
字大川,24.361795,124.166988
浜崎,24.339370,124.152078
字石垣,24.367947,124.152835
字桴海,24.460844,124.228926
新栄,24.346218,124.148903
