name,latitude,longitude
沖縄県,名護市
宇茂佐の森,26.603581,127.962329
字嘉陽,26.555861,128.113087
字天仁屋,26.577972,128.117936
字久志,26.522811,127.997811
字許田,26.540748,127.979509
字数久田,26.556203,127.987429
字世冨慶,26.566739,128.003534
字名護,26.585680,128.010169
字三原,26.569704,128.085969
字源河,26.613891,128.076819
字田井等,26.600531,128.023649
字大川,26.579326,128.042264
字汀間,26.568599,128.063652
字瀬嵩,26.568281,128.056890
字呉我,26.634502,127.998262
字我部,26.661094,128.000603
城,26.587433,127.981774
字我部祖河,26.626295,127.999117
字古我知,26.626180,127.983267
東江,26.586579,127.990737
字伊差川,26.605593,128.005374
字運天原,26.670432,128.001310
字済井出,26.669420,128.015092
字大浦,26.562912,128.040626
字安部,26.545460,128.087198
字豊原,26.526122,128.017287
字辺野古,26.534958,128.027871
字二見,26.556215,128.025550
字幸喜,26.532351,127.959187
字喜瀬,26.527142,127.943567
字川上,26.618202,128.022232
字仲尾,26.626641,128.011316
字振慶名,26.608642,128.013352
字饒平名,26.659492,128.016595
字屋我,26.651748,128.031040
字稲嶺,26.626873,128.048158
字親川,26.609492,128.024212
字真喜屋,26.615920,128.047895
字仲尾次,26.609425,128.038782
宮里,26.599199,127.968752
大中,26.597126,127.989078
大南,26.593657,127.976000
字山入端,26.608305,127.934787
字宮里,26.598867,127.966616
字勝山,26.623922,127.936608
字安和,26.614852,127.916852
港,26.590272,127.976052
字旭川,26.621635,127.951648
字屋部,26.609001,127.950231
字為又,26.614817,127.974155
字宇茂佐,26.609574,127.965295
字中山,26.628657,127.967478
