name,latitude,longitude
沖縄県,那覇市
古波蔵,26.199562,127.691306
真嘉比,26.222671,127.700862
楚辺,26.207035,127.683173
宇栄原,26.184452,127.665806
壺川,26.205830,127.681725
小禄,26.191872,127.674090
銘苅,26.234646,127.699143
安謝,26.236112,127.690279
字銘苅,26.236129,127.699544
字安謝,26.238942,127.689789
曙,26.239992,127.682645
港,26.244798,127.675857
首里石嶺,26.232425,127.733362
首里儀保,26.223690,127.718837
首里久場川,26.225692,127.721479
首里平良,26.228652,127.718044
首里大名,26.231515,127.721468
古島,26.229366,127.704115
首里末吉,26.229062,127.708778
松島,26.225357,127.710673
字古島,26.231481,127.703568
首里桃原,26.223606,127.713986
おもろまち,26.228821,127.694567
天久,26.231555,127.691517
上之屋,26.227585,127.688016
字天久,26.234746,127.684287
字上之屋,26.229674,127.683866
泊,26.226959,127.683247
首里赤平,26.223856,127.720962
首里汀良,26.220656,127.723729
首里赤田,26.214146,127.726126
首里鳥堀,26.216833,127.725986
首里崎山,26.212626,127.724560
首里金城,26.212956,127.719276
首里当蔵,26.220132,127.720649
首里池端,26.220371,127.716075
首里大中,26.221628,127.716480
首里山川,26.223549,127.711980
首里真和志,26.219217,127.716857
繁多川,26.214004,127.711466
首里寒川,26.217332,127.711456
松川,26.215961,127.707067
字松川,26.219469,127.705042
字大道,26.218866,127.699278
安里,26.220181,127.696607
字安里,26.218350,127.697251
牧志,26.218221,127.689529
辻,26.220214,127.668078
前島,26.223433,127.682683
若狭,26.221400,127.675852
久茂地,26.215476,127.682265
松山,26.220330,127.680447
久米,26.215825,127.673038
西,26.217241,127.665343
識名,26.203330,127.710612
字真地,26.203259,127.719911
三原,26.209570,127.702470
長田,26.203349,127.700931
字与儀,26.202522,127.694632
字寄宮,26.205012,127.698509
与儀,26.202408,127.691098
寄宮,26.208149,127.697331
壺屋,26.212732,127.694859
松尾,26.213522,127.686884
樋川,26.208335,127.688271
東,26.212136,127.674005
泉崎,26.209001,127.680472
奥武山,26.204514,127.675171
旭,26.209470,127.676677
通堂,26.211004,127.669708
垣花,26.204944,127.671443
金城,26.203394,127.665944
住吉,26.209015,127.665661
字鏡水,26.210713,127.651985
字識名,26.202337,127.714924
字上間,26.197667,127.712709
上間,26.200909,127.708851
字仲井真,26.194206,127.708342
字国場,26.197799,127.698947
山下,26.203029,127.669480
田原,26.196595,127.670137
鏡原,26.198096,127.678544
字赤嶺,26.192593,127.657705
字田原,26.195436,127.671351
赤嶺,26.195400,127.662876
字安次嶺,26.201843,127.657607
字大嶺,26.197504,127.643212
字高良,26.190808,127.655684
字当間,26.199196,127.651429
字小禄,26.193409,127.671395
字宇栄原,26.184011,127.668221
高良,26.184035,127.662984
宮城,26.186538,127.657824
具志,26.182113,127.659451
字宮城,26.189661,127.650950
字具志,26.182482,127.651743
