name,latitude,longitude
沖縄県,浦添市
西洲,26.260212,127.695944
西原,26.254216,127.746972
当山,26.251305,127.735033
仲間,26.249871,127.728313
城間,26.253370,127.712384
伊祖,26.254867,127.722500
屋富祖,26.254045,127.707631
字屋富祖,26.256405,127.700167
字宮城,26.253529,127.698943
字仲西,26.251113,127.695914
沢岻,26.236192,127.712397
経塚,26.241877,127.723106
前田,26.236685,127.735398
字仲間,26.243754,127.729287
字前田,26.239714,127.730903
字経塚,26.237598,127.722674
安波茶,26.244151,127.721722
宮城,26.250652,127.704346
大平,26.244912,127.715060
字大平,26.243551,127.712779
仲西,26.246514,127.699985
字小湾,26.248901,127.692552
伊奈武瀬,26.248315,127.671968
字沢岻,26.239050,127.714197
内間,26.235822,127.705764
勢理客,26.241592,127.697881
港川,26.260924,127.719297
字牧港,26.267441,127.715947
牧港,26.263792,127.721392
字港川,26.269027,127.711922
字城間,26.262120,127.706165
