name,latitude,longitude
大阪府,藤井寺市
小山藤美,34.580197,135.596806
春日丘新,34.568286,135.590366
小山新,34.581558,135.596013
陵南,34.562104,135.593650
さくら,34.566836,135.601040
古室,34.571041,135.609271
青山,34.555475,135.601570
西古室,34.567077,135.604394
国府,34.569840,135.619973
林,34.574417,135.611103
津堂,34.581521,135.593901
春日丘,34.570352,135.592935
藤ケ丘,34.562511,135.599985
恵美坂,34.575591,135.588345
川北,34.584334,135.614074
道明寺,34.564999,135.613350
東藤井寺,34.569537,135.601192
大井,34.578162,135.608277
小山藤の里,34.576351,135.599052
野中,34.559819,135.598206
北岡,34.575734,135.594801
藤井寺,34.568083,135.598176
惣社,34.576175,135.620179
小山,34.579676,135.601243
沢田,34.572397,135.612657
梅が園,34.575093,135.622780
西大井,34.582788,135.604595
岡,34.573047,135.593379
御舟,34.572703,135.600812
船橋,34.577579,135.624654
北條,34.579993,135.619755
