name,latitude,longitude
大阪府,大阪市東住吉区
駒川,34.629301,135.530623
田辺,34.625330,135.529158
照ケ丘矢田,34.604775,135.538078
杭全,34.635789,135.536339
針中野,34.620005,135.535894
中野,34.622879,135.539565
北田辺,34.629982,135.524783
南田辺,34.619626,135.521521
今川,34.630424,135.539572
湯里,34.615121,135.539492
山坂,34.621976,135.520824
東田辺,34.622207,135.528081
住道矢田,34.603041,135.538237
桑津,34.638114,135.533544
矢田,34.604030,135.531127
今林,34.636227,135.545747
西今川,34.622794,135.533882
鷹合,34.614713,135.531912
公園南矢田,34.600788,135.525061
長居公園,34.612822,135.520611
