let,num
車,1
塚,2
伊,8
加,8
賀,8
東,32
堤,1
楠,12
葉,12
面,1
取,1
川,2
原,1
岡,4
本,10
美,1
咲,1
堂,2
山,23
天,2
之,16
藤,9
田,26
宮,13
上,9
野,24
北,21
船,5
橋,5
三,2
矢,1
大,7
峰,4
垣,1
内,2
津,8
西,16
新,4
栄,3
長,11
尾,11
前,2
春,5
日,7
阪,10
口,3
南,18
緑,1
牧,6
杉,5
寿,1
甲,3
斐,3
元,13
片,3
鉾,3
招,9
提,9
宗,1
谷,8
磯,4
島,7
茶,1
屋,3
小,2
倉,2
渚,7
台,3
都,1
丘,11
神,1
星,1
平,1
手,4
尊,3
延,2
寺,3
下,2
朝,2
禁,2
中,14
振,3
桜,3
走,1
駅,1
養,4
父,4
村,9
枚,3
方,3
交,1
家,1
具,1
出,3
敷,2
香,11
里,10
ケ,2
十,1
高,4
池,6
宇,2
穂,2
町,1
松,1
樋,1
荒,1
御,2
殿,2
黄,1
金,1
王,1
仁,1
公,3
園,9
芝,1
茄,4
子,4
作,4
道,1
菊,2
栗,1
翠,1
氷,1
室,1
並,1
木,2
戸,1
須,1
印,1
近,1
峠,1
花,1
播,1
磨,1
釈,1
見,1
責,1
