name,latitude,longitude
大阪府,大東市
住道,34.706958,135.624851
御供田,34.705279,135.631680
寺川,34.709178,135.645862
南新田,34.701248,135.638137
灰塚,34.700017,135.607858
諸福,34.706080,135.601544
大野,34.702922,135.616849
新田東本,34.707571,135.607686
平野屋新,34.711115,135.636700
学園,34.730362,135.640581
中楠の里,34.728935,135.635272
浜,34.708683,135.622281
深野南,34.709353,135.631426
中垣内,34.702677,135.641976
北新,34.730448,135.638023
深野,34.717796,135.627788
西楠の里,34.726842,135.632270
錦,34.727766,135.640028
御領,34.720995,135.610097
栄和,34.702091,135.624942
南楠の里,34.727195,135.635097
泉,34.708299,135.633586
太子田,34.710916,135.609697
谷川,34.712638,135.625323
曙,34.711240,135.624989
三箇,34.718115,135.620628
扇,34.702372,135.620739
南郷,34.711119,135.612197
三住,34.708843,135.624417
新,34.704346,135.623345
平野屋,34.704844,135.636137
朋来,34.697508,135.616296
川中新,34.704678,135.625988
緑が丘,34.714394,135.629750
三洋,34.701350,135.615802
赤井,34.708045,135.617265
末広,34.704673,135.620531
津の辺,34.724532,135.634408
明美の里,34.726746,135.637981
北楠の里,34.731057,135.634439
新田旭,34.710096,135.607293
北条,34.728713,135.645386
幸,34.708910,135.627687
氷野,34.711189,135.616005
大東,34.715563,135.619951
野崎,34.717812,135.639081
新田西,34.710519,135.599811
新田本,34.707412,135.601743
新田中,34.710201,135.603726
新田境,34.716125,135.604173
南津の辺,34.721602,135.635925
新田北,34.714077,135.605281
寺川,34.713385,135.650806
中垣内,34.706803,135.652421
野崎,34.717708,135.649827
北条,34.724414,135.652591
龍間,34.711358,135.660421
