name,latitude,longitude
大阪府,吹田市
南正雀,34.769232,135.550052
千里山霧が丘,34.779815,135.505972
千里山星が丘,34.780293,135.507531
千里山虹が丘,34.781324,135.50825
清和園,34.757005,135.518031
千里山竹園,34.786341,135.502875
寿,34.756447,135.520114
泉,34.758594,135.511298
朝日,34.761989,135.52577
上山田,34.825713,135.518151
五月が丘西,34.786912,135.522062
高浜,34.759818,135.527286
金田,34.758716,135.507952
佐竹台,34.791681,135.513291
内本,34.757426,135.524553
末広,34.765257,135.531485
高城,34.761646,135.529747
津雲台,34.80178,135.508154
佐井寺南が丘,34.780181,135.517684
岸部中,34.781113,135.536732
山田市場,34.79082,135.538769
竹見台,34.794703,135.503217
南清和園,34.753702,135.51547
尺谷,34.795154,135.539226
片山,34.767126,135.522193
山手,34.767225,135.513474
佐井寺,34.783125,135.516919
樫切山,34.795697,135.536867
元,34.760596,135.523008
平松,34.770423,135.534391
千里山東,34.773722,135.507338
南吹田,34.751626,135.512127
目俵,34.767333,135.531265
春日,34.784828,135.499325
幸,34.76874,135.536475
江坂,34.76926,135.498366
古江台,34.814774,135.507179
新芦屋下,34.800288,135.553994
昭和,34.764063,135.527322
千里山高塚,34.781984,135.512038
南金田,34.755105,135.507898
桃山台,34.788491,135.498972
岸部南,34.775644,135.543571
青山台,34.819598,135.504801
千里山松が丘,34.779722,135.510669
藤が丘,34.771073,135.523421
千里山月が丘,34.783908,135.509234
日の出,34.763414,135.533331
原,34.77441,135.526953
千里丘下,34.793761,135.548475
竹谷,34.779576,135.521794
吹東,34.766589,135.537477
高野台,34.793488,135.514414
川岸,34.75154,135.516016
五月が丘北,34.788401,135.525472
中の島,34.751956,135.521944
東御旅,34.751443,135.528289
藤白台,34.81412,135.516502
垂水,34.760845,135.506765
山田西,34.804139,135.517664
西御旅,34.75,135.523657
千里丘上,34.796779,135.550966
広芝,34.754953,135.498888
川園,34.763316,135.538691
新芦屋上,34.801305,135.550256
清水,34.803328,135.543054
千里丘北,34.80153,135.54531
千里丘中,34.797165,135.546082
上山手,34.776527,135.518366
穂波,34.754789,135.511977
南高浜,34.757585,135.529116
出口,34.764404,135.514904
朝日が丘,34.772247,135.519482
長野東,34.793418,135.542477
山田東,34.800609,135.532061
西の庄,34.76191,135.519933
青葉丘南,34.805019,135.552169
円山,34.768852,135.504437
江の木,34.754129,135.494427
芳野,34.753721,135.4894
豊津,34.759768,135.492771
山田丘,34.820917,135.524003
千里万博公園,34.807748,135.533154
天道,34.770323,135.529539
岸部新,34.77626,135.537356
芝田,34.775063,135.537744
