name,latitude,longitude
大阪府,八尾市
千塚,34.631139,135.638721
都塚,34.605405,135.623303
垣内,34.615446,135.639302
曙川東,34.608705,135.625025
志紀,34.600629,135.615386
植松,34.615504,135.599713
桜ヶ丘,34.632480,135.608557
高安町南,34.615275,135.628895
旭ヶ丘,34.632847,135.608665
幸,34.647118,135.606865
南小阪合,34.622743,135.614897
跡部本,34.616453,135.583189
安中,34.617772,135.603965
末広,34.635691,135.587751
曙,34.606380,135.611783
天王寺屋,34.603684,135.614943
木の本,34.597598,135.587453
青山,34.625329,135.610889
春日,34.617330,135.593091
桂,34.646039,135.609892
山本,34.629738,135.620306
跡部北の,34.619880,135.583267
上之島町南,34.635040,135.622085
西木の本,34.602652,135.583992
新家,34.645980,135.595233
南亀井,34.612923,135.577059
小阪合,34.626887,135.617166
山城,34.633357,135.600367
西高安,34.643964,135.633833
水越,34.633633,135.642857
荘内,34.627061,135.608859
相生,34.611275,135.602983
亀井,34.618011,135.577204
佐堂,34.635785,135.592392
東山本,34.629203,135.624070
南植松,34.610444,135.597719
長池,34.640378,135.614765
緑ヶ丘,34.635235,135.609520
東,34.630416,135.632661
渋川,34.620959,135.589427
教興寺,34.617412,135.635229
永畑,34.612931,135.593604
東本,34.626545,135.603438
東山本新,34.622186,135.625785
八尾木,34.606310,135.614757
竹渕,34.616316,135.568513
福万寺,34.646002,135.619864
北本,34.631622,135.600289
山賀,34.645111,135.602320
太子堂,34.614850,135.583647
清水,34.623055,135.601606
高美,34.622452,135.608864
福万寺町北,34.648929,135.622456
楠根,34.640096,135.602266
南木の本,34.604089,135.593946
上尾,34.634754,135.630589
南太子堂,34.611398,135.589368
恩智南,34.604514,135.626633
東弓削,34.604717,135.618111
萱振,34.640855,135.604364
栄,34.624506,135.597143
南久宝寺,34.622372,135.586325
跡部南の,34.614561,135.581130
福栄,34.641197,135.628238
宮,34.633973,135.595104
楽音寺,34.642549,135.639101
光南,34.622969,135.599330
高砂,34.647454,135.612736
松山,34.621366,135.603761
中田,34.617781,135.611489
北木の本,34.607692,135.591802
小畑,34.642248,135.607801
西山本,34.629062,135.617859
弓削,34.598017,135.614844
南本,34.623078,135.605784
明美,34.621315,135.601689
東老原,34.606819,135.606145
八尾木,34.609775,135.619216
田井中,34.601962,135.601790
堤,34.634637,135.615530
老原,34.609885,135.601895
美園,34.636424,135.593077
黒谷,34.618521,135.638911
北久宝寺,34.631377,135.583812
千塚,34.632385,135.634720
東久宝寺,34.626655,135.594525
陽光園,34.621210,135.599421
久宝園,34.636357,135.589428
太田新,34.594545,135.591184
泉,34.647553,135.604153
大竹,34.638453,135.638889
柏村,34.614534,135.622576
本,34.627277,135.600854
服部川,34.622625,135.644207
郡川,34.622510,135.636122
神立,34.634825,135.648404
恩智中,34.608676,135.626894
久宝寺,34.626503,135.585376
北亀井,34.619947,135.576731
東弓削,34.603916,135.618722
太田,34.586622,135.596677
神宮寺,34.601869,135.633095
東太子,34.614089,135.589906
若草,34.627031,135.610487
山本高安,34.617608,135.623310
刑部,34.613293,135.618515
光,34.631809,135.603985
高,34.623616,135.594964
二俣,34.597146,135.618648
西弓削,34.595905,135.608285
沼,34.586318,135.602585
恩智北,34.611826,135.631755
龍華,34.620945,135.586193
垣内,34.611375,135.643262
木本,34.598399,135.582603
若林,34.596524,135.581659
都塚,34.606099,135.620706
山畑,34.627418,135.647736
刑部,34.609666,135.621801
郡川,34.615792,135.649554
黒谷,34.611465,135.647658
神武,34.624391,135.580483
神宮寺,34.601822,135.637956
空港,34.599673,135.601429
西久宝寺,34.629331,135.580189
教興寺,34.613174,135.655632
神立,34.635630,135.657398
楽音寺,34.640919,135.654921
服部川,34.619447,135.653000
恩智,34.605667,135.643328
大窪,34.628514,135.652113
都塚北,34.609493,135.622511
