name,latitude,longitude
大阪府,寝屋川市
点野,34.773622,135.603872
北大利,34.768053,135.619215
堀溝北,34.753377,135.628242
池田東,34.768943,135.617923
萱島桜園,34.748994,135.614246
高柳栄,34.766599,135.610685
音羽,34.77479,135.625121
池田南,34.767744,135.615465
御幸西,34.751993,135.60496
郡元,34.782624,135.633155
萱島東,34.748823,135.615805
日之出,34.761194,135.623706
長栄寺,34.766527,135.613242
高柳,34.761782,135.601838
寝屋新,34.772175,135.653717
池田旭,34.768656,135.613137
河北東,34.730217,135.63193
高倉,34.751825,135.648591
対馬江東,34.764595,135.605067
三井が丘,34.771273,135.639604
菅相塚,34.784982,135.641542
東大利,34.763454,135.618492
八幡台,34.768965,135.63857
堀溝,34.739849,135.62397
香里北之,34.788791,135.630215
境橋,34.776152,135.633986
対馬江西,34.764117,135.601916
美井,34.780673,135.634725
出雲,34.757688,135.623183
萱島南,34.745522,135.617179
若葉,34.77056,135.61886
川勝,34.767732,135.633408
打上高塚,34.755499,135.650484
太間東,34.783903,135.615401
成美,34.761757,135.612905
明和,34.753693,135.644946
黒原旭,34.759174,135.601823
南水苑,34.745262,135.613046
早子,34.763843,135.622634
萱島本,34.747286,135.612212
新家,34.751049,135.62812
葛原新,34.769673,135.606542
打上宮前,34.753812,135.652115
太秦元,34.763145,135.635443
石津東,34.778557,135.623313
黒原新,34.757956,135.59852
打上中,34.75861,135.654708
黒原城内,34.761185,135.598702
錦,34.761164,135.616162
御幸東,34.751939,135.607407
楠根北,34.755743,135.629043
黒原橘,34.757118,135.60249
香里本通,34.785625,135.631568
香里新,34.785933,135.629239
下神田,34.748494,135.609382
豊野,34.767871,135.627703
石津南,34.774457,135.622773
池田,34.774979,135.617323
萱島信和,34.750128,135.612808
仁和寺,34.76455,135.598929
大利元,34.763266,135.615479
打上南,34.754464,135.647393
讃良西,34.744632,135.621917
大利,34.766136,135.617566
仁和寺本,34.766783,135.593153
太秦東が丘,34.763541,135.641865
末広,34.783102,135.642471
八坂,34.766031,135.623116
春日,34.765742,135.607675
明徳,34.774089,135.647914
池田西,34.769326,135.609977
田井西,34.778196,135.626184
池田新,34.773341,135.611561
松屋,34.785725,135.625011
桜木,34.768676,135.620698
高宮新,34.760565,135.631626
石津元,34.777013,135.6191
石津中,34.778686,135.6208
葛原,34.770527,135.602942
昭栄,34.75747,135.625429
池の瀬,34.770907,135.647188
上神田,34.755888,135.608185
小路南,34.750596,135.637027
小路北,34.752434,135.638882
大成,34.751253,135.625222
成田南,34.776868,135.643831
中神田,34.752116,135.610929
池田北,34.780564,135.61552
香里西之,34.788895,135.626557
平池,34.769935,135.623743
本,34.765445,135.627405
美井元,34.778413,135.634234
清水,34.75811,135.614479
成田西,34.778575,135.638196
太秦緑が丘,34.760667,135.636107
宝,34.767227,135.60393
初,34.76175,135.62669
寝屋,34.768925,135.659827
太秦中,34.762576,135.638594
香里南之,34.783031,135.630098
梅が丘,34.75255,135.654472
打上新,34.756867,135.64678
中木田,34.757146,135.619562
大谷,34.763423,135.659369
楠根南,34.752271,135.631607
宇谷,34.767077,135.647051
高宮栄,34.759633,135.629047
木屋,34.788197,135.622062
緑,34.774152,135.628463
池田本,34.771277,135.614245
東神田,34.754521,135.614996
讃良東,34.746199,135.625493
木田,34.76056,135.620738
東香里園,34.783278,135.637351
日新,34.783038,135.622854
成田東,34.782121,135.646532
成田東が丘,34.778536,135.648067
木田元宮,34.754217,135.618724
田井,34.777995,135.629732
寿,34.78227,135.626962
高宮,34.755761,135.636988
成田,34.779182,135.641692
寝屋北,34.773515,135.656814
下木田,34.749694,135.621598
豊里,34.782802,135.618636
幸,34.77083,135.628198
高宮あさひ丘,34.757041,135.639415
秦,34.764474,135.631974
河北西,34.732662,135.623176
池田中,34.777215,135.612764
三井南,34.774267,135.635936
太間,34.786502,135.613555
打上元,34.755363,135.655921
太秦桜が丘,34.766394,135.642794
国松,34.770797,135.634971
木屋元,34.788573,135.617539
河北中,34.731412,135.628032
太秦高塚,34.75999,135.644973
寝屋川公園,34.762309,135.653646
