let,num
点,1
野,2
北,10
大,6
利,4
堀,2
溝,2
池,11
田,24
東,14
萱,5
島,5
桜,3
園,3
高,9
柳,2
栄,4
音,1
羽,1
南,10
御,2
幸,3
西,8
郡,1
元,8
日,3
之,4
出,2
長,1
寺,3
寝,4
屋,7
新,9
旭,2
河,3
倉,1
対,2
馬,2
江,2
三,2
井,6
が,6
丘,7
菅,1
相,1
塚,3
八,2
幡,1
台,1
香,6
里,7
境,1
橋,1
美,3
雲,1
若,1
葉,1
川,2
勝,1
打,6
上,7
太,8
間,2
成,7
明,2
和,4
黒,4
原,6
水,2
苑,1
早,1
子,1
本,5
家,1
葛,2
宮,6
前,1
秦,7
石,4
津,4
中,7
城,1
内,1
錦,1
楠,2
根,2
橘,1
通,1
下,2
神,4
豊,2
信,1
仁,2
讃,2
良,2
末,1
広,1
坂,1
春,1
徳,1
松,2
木,7
昭,1
の,1
瀬,1
小,2
路,2
平,1
清,1
緑,2
宝,1
初,1
梅,1
谷,2
宇,1
寿,1
あ,1
さ,1
ひ,1
国,1
公,1
