name,latitude,longitude
大阪府,貝塚市
神前,34.441285,135.35844
畠中,34.435001,135.351542
堀,34.445949,135.363941
二色港,34.43406,135.330092
津田,34.453786,135.364854
海塚,34.445331,135.354188
脇濱,34.445354,135.348877
東山,34.410207,135.391143
加治,34.44099,135.360093
西,34.44899,135.355167
新,34.444206,135.353029
永吉,34.450254,135.372753
中,34.448051,135.358082
近木,34.44638,135.356315
浦田,34.433103,135.344848
二色,34.446839,135.340696
東,34.445226,135.362698
南,34.447524,135.353378
脇浜,34.4425,135.348424
北,34.450361,135.357173
福田,34.442007,135.364719
津田南,34.453898,135.360242
津田北,34.455622,135.361544
加神,34.437941,135.350231
小瀬,34.450139,135.369074
窪田,34.432363,135.350867
鳥羽,34.4364,135.366157
堤,34.430059,135.357318
地藏堂,34.426417,135.355712
二色北,34.461609,135.3434
森,34.416024,135.380668
石才,34.434148,135.362333
港,34.453016,135.355612
二色中,34.457403,135.340723
水間,34.400223,135.385675
清児,34.425901,135.376985
麻生中,34.431314,135.373414
王子,34.424805,135.350708
二色南,34.452071,135.335745
名越,34.417855,135.373941
橋本,34.422944,135.36469
澤,34.435114,135.339542
三ケ山,34.408248,135.398824
秬谷,34.360425,135.391157
三ツ松,34.408025,135.380112
大川,34.361439,135.398972
馬場,34.385226,135.392414
木積,34.379552,135.408423
蕎原,34.359405,135.420073
久保,34.445842,135.376059
半田,34.437499,135.377155
新井,34.439615,135.367223
中,34.447989,135.358059
